"Plot Title: CT_344_HighSGD"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739344, SEN S/N: 20739344)","Temp, °C (LGR S/N: 20739344, SEN S/N: 20739344)"
1,06/05/22 07:28:00 AM,0.0,27.53
2,06/05/22 07:32:00 AM,0.0,27.51
3,06/05/22 07:36:00 AM,0.0,27.44
4,06/05/22 07:40:00 AM,0.0,27.38
5,06/05/22 07:44:00 AM,0.0,27.30
6,06/05/22 07:48:00 AM,0.0,27.24
7,06/05/22 07:52:00 AM,0.0,27.17
8,06/05/22 07:56:00 AM,0.0,27.13
9,06/05/22 08:00:00 AM,0.0,27.06
10,06/05/22 08:04:00 AM,0.0,27.02
11,06/05/22 08:08:00 AM,0.0,26.99
12,06/05/22 08:12:00 AM,0.0,26.94
13,06/05/22 08:16:00 AM,0.0,26.93
14,06/05/22 08:20:00 AM,0.0,26.94
15,06/05/22 08:24:00 AM,0.0,26.92
16,06/05/22 08:28:00 AM,0.0,26.88
17,06/05/22 08:32:00 AM,0.0,26.86
18,06/05/22 08:36:00 AM,0.0,26.83
19,06/05/22 08:40:00 AM,0.0,26.79
20,06/05/22 08:44:00 AM,0.0,26.90
21,06/05/22 08:48:00 AM,0.0,27.26
22,06/05/22 08:52:00 AM,0.0,27.52
23,06/05/22 08:56:00 AM,0.0,27.68
24,06/05/22 09:00:00 AM,0.0,27.78
25,06/05/22 09:04:00 AM,0.0,28.02
26,06/05/22 09:08:00 AM,38206.2,27.30
27,06/05/22 09:12:00 AM,38332.2,27.35
28,06/05/22 09:16:00 AM,38269.1,27.38
29,06/05/22 09:20:00 AM,38093.4,27.40
30,06/05/22 09:24:00 AM,38484.3,27.51
31,06/05/22 09:28:00 AM,38497.1,27.55
32,06/05/22 09:32:00 AM,38817.7,27.68
33,06/05/22 09:36:00 AM,38744.6,27.71
34,06/05/22 09:40:00 AM,38714.6,27.76
35,06/05/22 09:44:00 AM,38577.8,27.70
36,06/05/22 09:48:00 AM,38565.1,27.93
37,06/05/22 09:52:00 AM,38399.7,28.00
38,06/05/22 09:56:00 AM,38774.7,28.16
39,06/05/22 10:00:00 AM,2321.4,27.31
40,06/05/22 10:04:00 AM,785.3,27.53
41,06/05/22 10:08:00 AM,156.5,29.17
42,06/05/22 10:12:00 AM,38273.3,28.17
43,06/05/22 10:16:00 AM,37803.8,28.08
44,06/05/22 10:20:00 AM,37603.5,28.14
45,06/05/22 10:24:00 AM,37685.0,28.20
46,06/05/22 10:28:00 AM,37713.6,28.25
47,06/05/22 10:32:00 AM,37721.8,28.29
48,06/05/22 10:36:00 AM,37701.4,28.31
49,06/05/22 10:40:00 AM,37766.9,28.30
50,06/05/22 10:44:00 AM,37828.5,28.34
51,06/05/22 10:48:00 AM,37807.9,28.35
52,06/05/22 10:52:00 AM,37742.3,28.40
53,06/05/22 10:56:00 AM,37775.1,28.41
54,06/05/22 11:00:00 AM,37853.2,28.44
55,06/05/22 11:04:00 AM,37931.6,28.41
56,06/05/22 11:08:00 AM,38056.0,28.49
57,06/05/22 11:12:00 AM,38151.8,28.49
58,06/05/22 11:16:00 AM,38139.3,28.46
59,06/05/22 11:20:00 AM,38197.8,28.47
60,06/05/22 11:24:00 AM,38264.9,28.46
61,06/05/22 11:28:00 AM,38264.9,28.47
62,06/05/22 11:32:00 AM,38327.9,28.49
63,06/05/22 11:36:00 AM,38374.3,28.52
64,06/05/22 11:40:00 AM,38353.2,28.52
65,06/05/22 11:44:00 AM,38416.6,28.52
66,06/05/22 11:48:00 AM,38509.8,28.51
67,06/05/22 11:52:00 AM,38454.7,28.51
68,06/05/22 11:56:00 AM,38552.3,28.52
69,06/05/22 12:00:00 PM,38586.4,28.55
70,06/05/22 12:04:00 PM,38603.4,28.58
71,06/05/22 12:08:00 PM,38582.1,28.61
72,06/05/22 12:12:00 PM,38624.8,28.63
73,06/05/22 12:16:00 PM,38658.9,28.67
74,06/05/22 12:20:00 PM,38667.5,28.71
75,06/05/22 12:24:00 PM,38676.0,28.73
76,06/05/22 12:28:00 PM,38757.5,28.77
77,06/05/22 12:32:00 PM,38706.0,28.79
78,06/05/22 12:36:00 PM,38761.8,28.80
79,06/05/22 12:40:00 PM,38723.2,28.80
80,06/05/22 12:44:00 PM,38757.5,28.83
81,06/05/22 12:48:00 PM,38779.0,28.87
82,06/05/22 12:52:00 PM,38809.1,28.87
83,06/05/22 12:56:00 PM,38817.7,28.85
84,06/05/22 01:00:00 PM,38766.1,28.84
85,06/05/22 01:04:00 PM,38800.5,28.84
86,06/05/22 01:08:00 PM,38891.1,28.85
87,06/05/22 01:12:00 PM,38886.7,28.85
88,06/05/22 01:16:00 PM,38956.0,28.85
89,06/05/22 01:20:00 PM,38930.0,28.87
90,06/05/22 01:24:00 PM,39029.8,28.84
91,06/05/22 01:28:00 PM,38977.7,28.85
92,06/05/22 01:32:00 PM,39042.8,28.84
93,06/05/22 01:36:00 PM,39016.7,28.85
94,06/05/22 01:40:00 PM,39012.4,28.85
95,06/05/22 01:44:00 PM,39034.1,28.84
96,06/05/22 01:48:00 PM,39047.2,28.84
97,06/05/22 01:52:00 PM,39034.1,28.85
98,06/05/22 01:56:00 PM,39108.2,28.85
99,06/05/22 02:00:00 PM,39186.9,28.88
100,06/05/22 02:04:00 PM,39143.1,28.88
101,06/05/22 02:08:00 PM,39252.7,28.90
102,06/05/22 02:12:00 PM,39182.5,28.90
103,06/05/22 02:16:00 PM,39208.8,28.93
104,06/05/22 02:20:00 PM,39226.3,28.95
105,06/05/22 02:24:00 PM,39134.4,28.96
106,06/05/22 02:28:00 PM,39208.8,28.94
