"Plot Title: Pressure_872_LowSGD"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810872, SEN S/N: 20810872)","Temp, °C (LGR S/N: 20810872, SEN S/N: 20810872)"
1,06/05/22 07:28:00 AM,101.069,29.053
2,06/05/22 07:32:00 AM,101.092,28.655
3,06/05/22 07:36:00 AM,101.100,28.357
4,06/05/22 07:40:00 AM,101.125,28.060
5,06/05/22 07:44:00 AM,101.391,27.764
6,06/05/22 07:48:00 AM,101.612,27.567
7,06/05/22 07:52:00 AM,101.642,27.468
8,06/05/22 07:56:00 AM,101.637,27.272
9,06/05/22 08:00:00 AM,101.634,27.173
10,06/05/22 08:04:00 AM,101.648,27.075
11,06/05/22 08:08:00 AM,101.339,26.977
12,06/05/22 08:12:00 AM,101.127,26.879
13,06/05/22 08:16:00 AM,101.640,26.781
14,06/05/22 08:20:00 AM,101.640,26.781
15,06/05/22 08:24:00 AM,101.576,26.781
16,06/05/22 08:28:00 AM,101.590,26.683
17,06/05/22 08:32:00 AM,101.573,26.683
18,06/05/22 08:36:00 AM,101.622,26.683
19,06/05/22 08:40:00 AM,101.619,26.585
20,06/05/22 08:44:00 AM,101.654,26.683
21,06/05/22 08:48:00 AM,101.620,27.272
22,06/05/22 08:52:00 AM,101.644,27.567
23,06/05/22 08:56:00 AM,101.644,27.567
24,06/05/22 09:00:00 AM,101.646,27.665
25,06/05/22 09:04:00 AM,101.635,27.862
26,06/05/22 09:08:00 AM,103.366,27.468
27,06/05/22 09:12:00 AM,103.550,27.075
28,06/05/22 09:16:00 AM,101.680,27.075
29,06/05/22 09:20:00 AM,101.644,27.567
30,06/05/22 09:24:00 AM,101.655,27.370
31,06/05/22 09:28:00 AM,103.714,27.173
32,06/05/22 09:32:00 AM,103.507,27.272
33,06/05/22 09:36:00 AM,103.765,27.272
34,06/05/22 09:40:00 AM,103.765,27.272
35,06/05/22 09:44:00 AM,103.590,27.370
36,06/05/22 09:48:00 AM,103.783,27.370
37,06/05/22 09:52:00 AM,103.837,27.567
38,06/05/22 09:56:00 AM,103.740,27.567
39,06/05/22 10:00:00 AM,101.580,27.567
40,06/05/22 10:04:00 AM,104.964,27.468
41,06/05/22 10:08:00 AM,104.808,27.665
42,06/05/22 10:12:00 AM,104.762,27.764
43,06/05/22 10:16:00 AM,104.778,27.764
44,06/05/22 10:20:00 AM,104.749,27.862
45,06/05/22 10:24:00 AM,105.074,27.961
46,06/05/22 10:28:00 AM,104.751,27.961
47,06/05/22 10:32:00 AM,104.800,27.961
48,06/05/22 10:36:00 AM,104.993,27.961
49,06/05/22 10:40:00 AM,104.832,27.961
50,06/05/22 10:44:00 AM,104.705,28.060
51,06/05/22 10:48:00 AM,105.174,28.060
52,06/05/22 10:52:00 AM,104.851,28.060
53,06/05/22 10:56:00 AM,104.980,28.060
54,06/05/22 11:00:00 AM,105.222,28.060
