"Plot Title: CT_325"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739325, SEN S/N: 20739325)","Temp, °C (LGR S/N: 20739325, SEN S/N: 20739325)"
1,06/12/22 11:40:00 AM,0.0,28.23
2,06/12/22 11:44:00 AM,0.0,28.40
3,06/12/22 11:48:00 AM,0.0,28.50
4,06/12/22 11:52:00 AM,0.0,28.57
5,06/12/22 11:56:00 AM,0.0,28.74
6,06/12/22 12:00:00 PM,0.0,29.17
7,06/12/22 12:04:00 PM,38968.1,28.80
8,06/12/22 12:08:00 PM,38830.1,28.67
9,06/12/22 12:12:00 PM,38757.7,28.64
10,06/12/22 12:16:00 PM,38700.7,28.66
11,06/12/22 12:20:00 PM,38727.3,28.67
12,06/12/22 12:24:00 PM,38712.1,28.68
13,06/12/22 12:28:00 PM,38670.3,28.68
14,06/12/22 12:32:00 PM,38677.9,28.68
15,06/12/22 12:36:00 PM,38658.9,28.68
16,06/12/22 12:40:00 PM,38621.1,28.68
17,06/12/22 12:44:00 PM,38632.4,28.69
18,06/12/22 12:48:00 PM,38579.5,28.69
19,06/12/22 12:52:00 PM,38624.9,28.71
20,06/12/22 12:56:00 PM,38613.5,28.71
21,06/12/22 01:00:00 PM,38564.4,28.72
22,06/12/22 01:04:00 PM,38583.3,28.72
23,06/12/22 01:08:00 PM,38541.8,28.72
24,06/12/22 01:12:00 PM,38553.1,28.72
25,06/12/22 01:16:00 PM,38519.2,28.68
26,06/12/22 01:20:00 PM,38481.6,28.67
27,06/12/22 01:24:00 PM,38549.4,28.68
28,06/12/22 01:28:00 PM,38496.7,28.71
29,06/12/22 01:32:00 PM,38504.2,28.72
30,06/12/22 01:36:00 PM,38489.1,28.73
31,06/12/22 01:40:00 PM,38511.7,28.74
32,06/12/22 01:44:00 PM,38459.1,28.76
33,06/12/22 01:48:00 PM,38534.3,28.76
34,06/12/22 01:52:00 PM,38507.9,28.77
35,06/12/22 01:56:00 PM,38466.6,28.77
36,06/12/22 02:00:00 PM,38485.4,28.77
37,06/12/22 02:04:00 PM,38466.6,28.74
38,06/12/22 02:08:00 PM,38466.6,28.73
39,06/12/22 02:12:00 PM,38492.9,28.74
40,06/12/22 02:16:00 PM,38485.4,28.74
41,06/12/22 02:20:00 PM,38489.1,28.76
42,06/12/22 02:24:00 PM,38500.4,28.76
43,06/12/22 02:28:00 PM,38511.7,28.72
44,06/12/22 02:32:00 PM,38504.2,28.72
45,06/12/22 02:36:00 PM,38432.8,28.73
46,06/12/22 02:40:00 PM,38444.1,28.73
47,06/12/22 02:44:00 PM,38462.9,28.73
48,06/12/22 02:48:00 PM,38462.9,28.76
49,06/12/22 02:52:00 PM,38444.1,28.78
50,06/12/22 02:56:00 PM,38447.8,28.79
51,06/12/22 03:00:00 PM,38455.3,28.80
52,06/12/22 03:04:00 PM,38447.8,28.82
53,06/12/22 03:08:00 PM,38481.6,28.82
54,06/12/22 03:12:00 PM,38485.4,28.82
55,06/12/22 03:16:00 PM,38470.4,28.84
56,06/12/22 03:20:00 PM,38485.4,28.85
57,06/12/22 03:24:00 PM,38481.6,28.85
58,06/12/22 03:28:00 PM,38496.7,28.85
59,06/12/22 03:32:00 PM,38459.1,28.85
60,06/12/22 03:36:00 PM,38481.6,28.85
61,06/12/22 03:40:00 PM,38496.7,28.87
62,06/12/22 03:44:00 PM,38485.4,28.87
63,06/12/22 03:48:00 PM,38459.1,28.88
64,06/12/22 03:52:00 PM,38474.1,28.88
65,06/12/22 03:56:00 PM,38474.1,28.89
66,06/12/22 04:00:00 PM,38481.6,28.88
67,06/12/22 04:04:00 PM,38466.6,28.88
68,06/12/22 04:08:00 PM,38440.3,28.87
69,06/12/22 04:12:00 PM,38440.3,28.85
70,06/12/22 04:16:00 PM,38462.9,28.84
71,06/12/22 04:20:00 PM,38451.6,28.83
72,06/12/22 04:24:00 PM,38425.4,28.82
73,06/12/22 04:28:00 PM,38462.9,28.80
74,06/12/22 04:32:00 PM,38425.4,28.78
75,06/12/22 04:36:00 PM,38436.6,28.77
76,06/12/22 04:40:00 PM,38444.1,28.76
77,06/12/22 04:44:00 PM,38410.4,28.73
78,06/12/22 04:48:00 PM,38436.6,28.72
79,06/12/22 04:52:00 PM,38414.1,28.69
80,06/12/22 04:56:00 PM,38447.8,28.67
81,06/12/22 05:00:00 PM,38399.1,28.64
82,06/12/22 05:04:00 PM,3139.7,28.46
83,06/12/22 05:08:00 PM,3090.4,28.40
84,06/12/22 05:12:00 PM,3217.9,28.39
85,06/12/22 05:16:00 PM,3299.8,28.40
86,06/12/22 05:20:00 PM,3299.2,28.42
87,06/12/22 05:24:00 PM,3299.8,28.46
88,06/12/22 05:28:00 PM,3302.1,28.51
89,06/12/22 05:32:00 PM,3302.7,28.55
90,06/12/22 05:36:00 PM,3305.1,28.57
91,06/12/22 05:40:00 PM,3303.9,28.60
92,06/12/22 05:44:00 PM,3303.3,28.60
93,06/12/22 05:48:00 PM,3302.7,28.60
94,06/12/22 05:52:00 PM,3301.5,28.60
95,06/12/22 05:56:00 PM,3299.2,28.58
96,06/12/22 06:00:00 PM,3298.6,28.57
97,06/12/22 06:04:00 PM,3294.5,28.55
98,06/12/22 06:08:00 PM,3293.9,28.53
99,06/12/22 06:12:00 PM,3291.5,28.51
100,06/12/22 06:16:00 PM,3289.2,28.48
101,06/12/22 06:20:00 PM,3286.8,28.46
102,06/12/22 06:24:00 PM,3284.5,28.44
103,06/12/22 06:28:00 PM,3282.7,28.41
104,06/12/22 06:32:00 PM,3280.3,28.39
105,06/12/22 06:36:00 PM,3278.0,28.36
106,06/12/22 06:40:00 PM,3276.2,28.34
107,06/12/22 06:44:00 PM,3274.4,28.31
108,06/12/22 06:48:00 PM,3271.5,28.28
109,06/12/22 06:52:00 PM,3270.3,28.25
110,06/12/22 06:56:00 PM,3268.0,28.23
111,06/12/22 07:00:00 PM,3265.6,28.20
112,06/12/22 07:04:00 PM,3264.4,28.18
113,06/12/22 07:08:00 PM,3262.7,28.14
114,06/12/22 07:12:00 PM,3260.3,28.12
115,06/12/22 07:16:00 PM,3257.9,28.08
116,06/12/22 07:20:00 PM,3255.6,28.05
117,06/12/22 07:24:00 PM,3253.2,28.02
118,06/12/22 07:28:00 PM,3251.5,27.99
119,06/12/22 07:32:00 PM,3246.8,27.94
120,06/12/22 07:36:00 PM,3245.6,27.92
121,06/12/22 07:40:00 PM,3243.8,27.88
122,06/12/22 07:44:00 PM,3242.6,27.84
123,06/12/22 07:48:00 PM,3239.1,27.81
124,06/12/22 07:52:00 PM,3237.3,27.78
125,06/12/22 07:56:00 PM,3272.1,27.71
126,06/12/22 08:00:00 PM,2156.5,26.69
127,06/12/22 08:04:00 PM,1895.6,26.42
128,06/12/22 08:08:00 PM,1934.0,26.37
