Location,CowTagID,lat,lon,MaxMin,adj_CT_depth_cm,Season,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V1,-17.53975298,-149.900506,Maximum,76.6,Dry,36.52,2377.029989,8.065993322640152,0.23,5.11,0.84,0.52,2.754412529,2.128530089,0.014525517,0.09829493,0.208416064,4.6,34.53571429,0.946727778
Varari,V1,-17.53975298,-149.900506,Maximum,76.6,Wet,36.67,2360.875128,8.033556118392447,0.187228219,4.940658029,0.758656776,0.828499422,Inf,Inf,Inf,Inf,Inf,3.6,32.45726496,0.962962963
Varari,V1,-17.53975298,-149.900506,Minimum,76.6,Dry,36.22,2309.516077,8.014044470618156,0.2,0.91,0.5,0.32,1.185099417,0.637080298,0.009013159,0.019077179,0.016755293,4.6,34.53571429,0.946727778
Varari,V1,-17.53975298,-149.900506,Minimum,76.6,Wet,36.34,2333.14574,7.904822909610202,0.143281048,1.232851655,0.154868566,0.230482094,-Inf,-Inf,-Inf,-Inf,-Inf,3.6,32.45726496,0.962962963
Varari,V2,-17.53989003,-149.900519,Maximum,69.19999999999999,Dry,36.4,2365.03174,8.05555174101946,0.26,5.76,1.05,2.4,2.175318354,1.337764548,0.022531222,0.080698238,0.186930911,4.4,32.19318182,1.048576081
Varari,V2,-17.53989003,-149.900519,Maximum,69.19999999999999,Wet,36.64,2360.453386,8.039916817974959,0.174559182,3.700915433,0.620575938,0.583375924,Inf,Inf,Inf,Inf,Inf,3.8,31.10380623,1.005882148
Varari,V2,-17.53989003,-149.900519,Minimum,69.19999999999999,Dry,36.09,2328.302637,8.014612800858368,0.2,0.92,0.57,0.26,1.228273596,0.815434825,0.008753099,0.015103301,0.016072899,4.4,32.19318182,1.048576081
Varari,V2,-17.53989003,-149.900519,Minimum,69.19999999999999,Wet,36.42,2335.686567,7.9252367683307154,0.147550467,1.036264889,0.232831964,0.163935715,-Inf,-Inf,-Inf,-Inf,-Inf,3.8,31.10380623,1.005882148
Varari,V3,-17.54012598,-149.90056,Maximum,52,Dry,36.52,2380.835159,8.069751700432176,0.24,3.38,0.82,0.46,2.637901428,1.221763919,0.013014693,0.069997599,0.162614428,4,32.45090909,1.080889867
Varari,V3,-17.54012598,-149.90056,Maximum,52,Wet,36.63,2361.344489,8.046582442335957,0.165463464,3.033281857,0.458430097,0.66846408,Inf,Inf,Inf,Inf,Inf,3.7,36.75272727,0.924214418
Varari,V3,-17.54012598,-149.90056,Minimum,52,Dry,36.28,2345.266347,7.97003221213515,0.19,1.2,0.37,0.28,1.389091122,0.867233513,0.007175831,0.0214734,0.048753233,4,32.45090909,1.080889867
Varari,V3,-17.54012598,-149.90056,Minimum,52,Wet,36.43,2338.368209,7.917425625901645,0.112838235,0.940740334,0.17487767,0.223401416,-Inf,-Inf,-Inf,-Inf,-Inf,3.7,36.75272727,0.924214418
Varari,V4,-17.54024902,-149.900454,Maximum,58.7,Dry,36.53,2362.8142,8.070973742992923,0.24,3.01,1.06,1.07,2.008484641,1.349167743,0.01489088,0.070038984,0.162528997,3.9,29.54045307,1.16017121
Varari,V4,-17.54024902,-149.900454,Maximum,58.7,Wet,36.65,2362.423851,8.05021091697143,0.163003907,1.174706274,0.252300281,0.408759185,Inf,Inf,Inf,Inf,Inf,3.3,28.78853047,1.189258312
Varari,V4,-17.54024902,-149.900454,Minimum,58.7,Dry,36.4,2320.14392,8.034426484034048,0.21,0.84,0.4,0.3,1.224375862,0.754337072,0.006625581,0.011803696,0.016268222,3.9,29.54045307,1.16017121
Varari,V4,-17.54024902,-149.900454,Minimum,58.7,Wet,36.54,2338.301671,7.948435472894355,0.128152455,0.853522262,0.184071041,0.132552707,-Inf,-Inf,-Inf,-Inf,-Inf,3.3,28.78853047,1.189258312
Varari,V5,-17.54025003,-149.900336,Maximum,70.9,Dry,36.5,2366.352432,8.061337258650727,0.25,5.43,1.05,0.46,2.371370349,1.440397641,0.011891254,0.120762872,0.265873203,4.1,34.53696498,0.974888097
Varari,V5,-17.54025003,-149.900336,Maximum,70.9,Wet,36.61,2352.301094,8.047674164660059,0.162771874,2.390567731,0.3723549,0.470025058,Inf,Inf,Inf,Inf,Inf,3.3,21.84920635,1.35863705
Varari,V5,-17.54025003,-149.900336,Minimum,70.9,Dry,36.23,2321.38849,8.030467444184145,0.19,0.86,0.47,0.04,1.258483424,0.44089073,0.006802997,0.021805307,0.028092611,4.1,34.53696498,0.974888097
Varari,V5,-17.54025003,-149.900336,Minimum,70.9,Wet,36.5,2321.775911,7.94626126726384,0.116086706,0.891247539,0.135219987,0.147074099,-Inf,-Inf,-Inf,-Inf,-Inf,3.3,21.84920635,1.35863705
Varari,V6,-17.54002498,-149.900106,Maximum,67.69999999999999,Dry,36.51,2365.266839,8.059622827798533,0.25,5,0.92,0.43,2.12866465,1.195996653,0.013097303,0.091840431,0.221335883,4.9,31.34586466,1.074096507
Varari,V6,-17.54002498,-149.900106,Maximum,67.69999999999999,Wet,36.58,2405.71887,8.030438955976145,0.18040643,4.688002503,0.534681004,0.298948658,Inf,Inf,Inf,Inf,Inf,3.9,32.73529412,0.964812713
Varari,V6,-17.54002498,-149.900106,Minimum,67.69999999999999,Dry,36.31,2322.780484,8.019453650498878,0.18,1.05,0.45,0.12,1.158443115,0.606004684,0.009762299,0.021956547,0.016679308,4.9,31.34586466,1.074096507
Varari,V6,-17.54002498,-149.900106,Minimum,67.69999999999999,Wet,36.36,2335.810823,7.91622854131028,0.141610406,1.491044837,0.134498939,0.125652045,-Inf,-Inf,-Inf,-Inf,-Inf,3.9,32.73529412,0.964812713
Varari,V7,-17.54004803,-149.899985,Maximum,45.9,Dry,36.48,2371.959181,8.077050143338493,0.25,4,0.92,0.7,1.811538995,1.331952877,0.013945463,0.102023191,0.257089965,4.8,31.32931727,0.994806233
Varari,V7,-17.54004803,-149.899985,Maximum,45.9,Wet,36.58,2357.65494,8.024370259620593,0.17558013,5.850910131,0.479520773,0.239062917,Inf,Inf,Inf,Inf,Inf,3.5,38.33854167,0.839491059
Varari,V7,-17.54004803,-149.899985,Minimum,45.9,Dry,36.26,2337.447513,8.014293905156164,0.21,1.01,0.54,0.31,1.367860544,0.625425117,0.009552103,0.021462661,0.044869412,4.8,31.32931727,0.994806233
Varari,V7,-17.54004803,-149.899985,Minimum,45.9,Wet,36.32,2332.53922,7.913070487026856,0.148432195,1.628447911,0.168388231,0.162075537,-Inf,-Inf,-Inf,-Inf,-Inf,3.5,38.33854167,0.839491059
Varari,V8,-17.54014903,-149.899896,Maximum,37.9,Dry,36.56,2363.226902,8.055299748971068,0.26,8.28,1.34,0.54,2.213546012,1.483817535,0.01406595,0.088466478,0.230293006,5.2,26.95665635,1.263891063
