Location,CowTagID,Season,lat,lon,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V1,Dry,-17.53975298,-149.900506,36.4,27.705000000000002,2339.726749,8.041593861599743,0.215,2.5,0.6375,0.40249999999999997,1.76441788875,1.151990804,0.011933298,0.046190840000000004,0.07872583325,5,27.69463087248322,1.108259883223623
Varari,V1,Wet,-17.53975298,-149.900506,36.5625,28.7825,2349.9651295,7.954676503475633,0.165382252,2.19441359475,0.4366859695,0.5076636655,NA,NA,NA,NA,NA,5,27.69463087248322,1.108259883223623
Varari,V2,Dry,-17.53989003,-149.900519,36.307500000000005,27.725,2348.3515925,8.035083692995888,0.2175,2.5075,0.7125,0.9199999999999999,1.57906632675,1.13982619575,0.013372904750000001,0.04224969575,0.0846088395,4.8,30.28793774319066,1.0367919961271583
Varari,V2,Wet,-17.53989003,-149.900519,36.542500000000004,28.815,2346.84460025,7.966006929877351,0.16280667875,1.911820119,0.38461272925,0.3074244705,NA,NA,NA,NA,NA,4.8,30.28793774319066,1.0367919961271583
Varari,V3,Dry,-17.54012598,-149.90056,36.39,27.6325,2357.647389,8.0290376020086,0.2125,1.85,0.5575,0.36750000000000005,1.9357594675,1.058390719,0.0100723325,0.0424722195,0.08979289,4.3,29.70921985815603,1.116301163803341
Varari,V3,Wet,-17.54012598,-149.90056,36.55,28.8375,2348.57690275,7.970871915258636,0.1495807615,1.5768784949999999,0.278325635,0.4423174015,NA,NA,NA,NA,NA,4.3,29.70921985815603,1.116301163803341
Varari,V4,Dry,-17.54024902,-149.900454,36.47,27.677500000000002,2335.19372075,8.048826178035714,0.22749999999999998,1.5625,0.6325000000000001,0.5475,1.56502206475,0.9951864770000001,0.009743554500000001,0.0366079095,0.07022998125,4,29.212121212121215,1.1182649949169774
Varari,V4,Wet,-17.54024902,-149.900454,36.5775,28.8525,2350.21746375,7.987951849886608,0.14257334575,0.97768687875,0.20486879175,0.27671652675,NA,NA,NA,NA,NA,4,29.212121212121215,1.1182649949169774
Varari,V5,Dry,-17.54025003,-149.900336,36.394999999999996,27.5475,2349.84187875,8.046113766159912,0.21000000000000002,2.0575,0.6174999999999999,0.2625,1.63059516175,0.7641666042499999,0.009556761,0.0533149265,0.08872443225,4.1,33.603846153846156,1.013368671317769
Varari,V5,Wet,-17.54025003,-149.900336,36.565,28.8625,2337.9675345,7.982863913151706,0.14587982500000002,1.32967409825,0.2367526665,0.3228309475,NA,NA,NA,NA,NA,4.1,33.603846153846156,1.013368671317769
Varari,V6,Dry,-17.54002498,-149.900106,36.4225,27.744999999999997,2339.25839525,8.041795883950922,0.2125,2.6625,0.6125,0.33,1.6159341655000001,0.9409876482499999,0.01101163175,0.049475936,0.09223187475,5,28.411149825783973,1.1610032362459548
Varari,V6,Wet,-17.54002498,-149.900106,36.4825,28.7675,2359.93571425,7.96892748278603,0.164546931,2.9299699745,0.31710453875,0.2315471965,NA,NA,NA,NA,NA,5,28.411149825783973,1.1610032362459548
Varari,V7,Dry,-17.54004803,-149.899985,36.36,27.6,2354.62068225,8.039063355666897,0.2275,2.58,0.715,0.4575,1.618084668,1.04163403325,0.01148148425,0.04989125425,0.11445625575,4.7,28.98625429553265,1.1191877235490943
Varari,V7,Wet,-17.54004803,-149.899985,36.4525,28.9725,2341.45340375,7.967458468723285,0.16452372775000002,3.2701896765,0.307618241,0.2014393105,NA,NA,NA,NA,NA,4.7,28.98625429553265,1.1191877235490943
Varari,V8,Dry,-17.54014903,-149.899896,36.370000000000005,27.56,2341.44105025,8.031658359153317,0.2125,2.9699999999999998,0.7075,0.355,1.6445277435,0.9474991945,0.01122398825,0.04924502075,0.090640785,5.1,28.970149253731343,1.0833535451532057
Varari,V8,Wet,-17.54014903,-149.899896,36.5675,28.97,2342.36522525,7.974848803492579,0.1604167325,2.1683693095,0.2743598665,0.22059614675,NA,NA,NA,NA,NA,5.1,28.970149253731343,1.0833535451532057
Varari,V9,Dry,-17.540245,-149.899765,36.425,27.6925,2349.122264,8.047942879348163,0.225,1.36,0.5575,0.3,1.7364897096666667,0.851485206,0.009998786666666667,0.04701113366666666,0.11052591866666667,3.9,31.95864661654135,1.0175975516449889
Varari,V9,Wet,-17.540245,-149.899765,36.572500000000005,29.0825,2340.76039825,7.97488636418586,0.1462278755,1.2095761975,0.1830570665,0.2050696585,NA,NA,NA,NA,NA,3.9,31.95864661654135,1.0175975516449889
Varari,V10,Dry,-17.54030501,-149.899788,36.3575,27.490000000000002,2332.94604,8.049871328783968,0.215,1.7775,0.545,0.3125,1.66466911975,1.07200384425,0.0084835205,0.028285104749999998,0.0654356175,4,28.625874125874127,1.155275488770399
Varari,V10,Wet,-17.54030501,-149.899788,36.59,29.07,2342.7591525,7.982425211481341,0.143884336,1.07563415825,0.12715325425000001,0.2400080075,NA,NA,NA,NA,NA,4,28.625874125874127,1.155275488770399
Varari,V11,Dry,-17.54019303,-149.900068,36.3825,27.535,2346.7587842499997,8.044181471827944,0.2125,2.61,0.615,0.5475,1.50974502675,0.86188977575,0.0098890015,0.041408501,0.08547400425,4.3,31.087248322147648,1.1118573240802925
