date,time,day_night,tide,site,pH,temp,cond,salinity,cond.temp,notes
3/9/2023,14:00,Day,High,Seep,-81.8,31.6,60270,35.3,31.4,
3/9/2023,14:00,Day,High,High,-83.6,31.1,61044,36,31.2,
3/9/2023,14:00,Day,High,Low,-84.4,31,61033,36,31.1,
3/9/2023,16:30,Day,Mid,Seep,-80.8,30.5,56053,33.2,30.4,
3/9/2023,19:30,Night,Low,Seep,-43.4,27.9,39347,23.6,27.8,
3/9/2023,19:30,Night,Low,High,-81.9,28.9,57347,35.3,28.6,
3/9/2023,19:30,Night,Low,Low,-82,29,58256,35.9,28.7,
3/9/2023,19:30,Night,Mid,Seep,-77.4,28.3,53067,32.5,28.4,
3/10/2023,2:00,Night,High,Seep,-77.4,28.3,57247,35.9,27.8,
3/10/2023,2:00,Night,High,High,-77.8,28.3,57516,35.9,28,
3/10/2023,2:00,Night,High,Low,-77.5,28.1,57799,36.1,28,
3/10/2023,8:00,Day,Low,Seep,-42.9,25.3,46613,28.8,27.2,"higher low tide due to higher waves. No beach at the SGTree, but able to get seep sample during wave pulses"
3/10/2023,8:00,Day,Low,High,-77.3,27.9,57015,35.9,27.6,"higher low tide due to higher waves. No beach at the SGTree, but able to get seep sample during wave pulses"
3/10/2023,8:00,Day,Low,Low,-78.2,27.8,57622,36.2,27.7,"higher low tide due to higher waves. No beach at the SGTree, but able to get seep sample during wave pulses"
