FE,Taxon_Group,Morph2,Calc,ER
"Rhodophyta,Br,NC,Auto",Rhodophyta,Br,NC,Auto
"Rhodophyta,Br,AC,Auto",Rhodophyta,Br,AC,Auto
"Chlorophyta,Fol,NC,Auto",Chlorophyta,Fol,NC,Auto
"Chlorophyta,Stol,NC,Auto",Chlorophyta,Stol,NC,Auto
"Rhodophyta,Enc,Non-AC,Auto",Rhodophyta,Enc,Non-AC,Auto
"Cyanobacteria,Enc,NC,Auto",Cyanobacteria,Enc,NC,Auto
"Scleractinia,Enc,Herm,Mix",Scleractinia,Enc,Herm,Mix
"Scleractinia,Mush,Herm,Mix",Scleractinia,Mush,Herm,Mix
"Chlorophyta,Cushion,NC,Auto",Chlorophyta,Cushion,NC,Auto
"Phaeophyta,Br,NC,Auto",Phaeophyta,Br,NC,Auto
"Corallimorpharia,Poly,NC,Mix",Corallimorpharia,Poly,NC,Mix
"Rhodophyta,Br,Non-AC,Auto",Rhodophyta,Br,Non-AC,Auto
"Scleractinia,Mas,Herm,Mix",Scleractinia,Mas,Herm,Mix
"Porifera,Enc,NC,Het",Porifera,Enc,NC,Het
"Chlorophyta,Br,AC,Auto",Chlorophyta,Br,AC,Auto
"Actiniaria,Poly,NC,Mix",Actiniaria,Poly,NC,Mix
"Phaeophyta,Enc,NC,Auto",Phaeophyta,Enc,NC,Auto
"Scleractinia,Dig,Herm,Mix",Scleractinia,Dig,Herm,Mix
"Phaeophyta,Fol,Non-AC,Auto",Phaeophyta,Fol,Non-AC,Auto
"Scleractinia,Fol,Herm,Mix",Scleractinia,Fol,Herm,Mix
"Scleractinia,Br,Herm,Mix",Scleractinia,Br,Herm,Mix
"Chlorophyta,Fil,NC,Auto",Chlorophyta,Fil,NC,Auto
"Chlorophyta,Sph,NC,Auto",Chlorophyta,Sph,NC,Auto
