FE,Taxon_Group,Morph2,Calc,Life_Span,MS_cat,ER,FM
"Rhodophyta,Enc,Non-AC,Perennial,10-20 cm,Auto,Photo",Rhodophyta,Enc,Non-AC,Perennial,10-20 cm,Auto,Photo
"Phaeophyta,Br,NC,Annual,10-20 cm,Auto,Photo",Phaeophyta,Br,NC,Annual,10-20 cm,Auto,Photo
"Corallimorpharia,Poly,NC,Perennial,< 10cm,Mix,Pas FF",Corallimorpharia,Poly,NC,Perennial,< 10cm,Mix,Pas FF
"Porifera,Enc,NC,unk,21-50 cm,Het,Act FF",Porifera,Enc,NC,unk,21-50 cm,Het,Act FF
"Chlorophyta,Br,AC,unreported,< 10cm,Auto,Photo",Chlorophyta,Br,AC,unreported,< 10cm,Auto,Photo
"Chlorophyta,Br,AC,unreported,21-50 cm,Auto,Photo",Chlorophyta,Br,AC,unreported,21-50 cm,Auto,Photo
"Actiniaria,Poly,NC,Perennial,51-100 cm,Mix,Pas FF",Actiniaria,Poly,NC,Perennial,51-100 cm,Mix,Pas FF
"Phaeophyta,Enc,NC,unreported,10-20 cm,Auto,Photo",Phaeophyta,Enc,NC,unreported,10-20 cm,Auto,Photo
"Scleractinia,Enc,Herm,Perennial,> 100 cm,Mix,Pas FF",Scleractinia,Enc,Herm,Perennial,> 100 cm,Mix,Pas FF
"Scleractinia,Dig,Herm,Perennial,> 100 cm,Mix,Pas FF",Scleractinia,Dig,Herm,Perennial,> 100 cm,Mix,Pas FF
"Phaeophyta,Fol,Non-AC,Annual,< 10cm,Auto,Photo",Phaeophyta,Fol,Non-AC,Annual,< 10cm,Auto,Photo
"Scleractinia,Br,Herm,Perennial,21-50 cm,Mix,Pas FF",Scleractinia,Br,Herm,Perennial,21-50 cm,Mix,Pas FF
"Scleractinia,Mas,Herm,Perennial,> 100 cm,Mix,Pas FF",Scleractinia,Mas,Herm,Perennial,> 100 cm,Mix,Pas FF
"Phaeophyta,Br,NC,unk,10-20 cm,Auto,Photo",Phaeophyta,Br,NC,unk,10-20 cm,Auto,Photo
"Chlorophyta,Fil,NC,Annual,< 10 cm,Auto,Photo",Chlorophyta,Fil,NC,Annual,< 10 cm,Auto,Photo
