"","PC1","PC2","PC3","PC4"
"Poly,Zoox,NC,Photo-Auto,Passive FF",0.446481699031425,-0.230478390724103,-0.14007282793628,-0.0797728205668167
"Enc,Non-Zoox,AC,Auto,Auto",-0.357552105649543,0.142973148597303,0.310897912570201,0.119425408248496
"Br Fol,NonZ,NC,Auto,Auto",-0.291481874727533,-0.174726040512848,-0.254945572969457,0.198321897250271
"Ves,NonZ,NC,Auto,Auto",-0.311740735553181,-0.220052258847674,-0.199732400877344,0.00651984920728377
"Br Erec,NonZ,NC,Auto,Auto",-0.315345122823203,-0.194624385727243,-0.185489903378699,0.0282505939999088
"Ves,Non-Zoox,NC,Auto,Auto",-0.372240883189432,-0.0884831946173334,-0.0648654532334712,-0.0428680413592834
"Br Mat,Non-Zoox,AC,Auto,Auto",-0.381754590662252,0.238729454915931,0.0675072999118336,0.0358275636951802
"Br Glob,Non-Zoox,AC,Auto,Auto",-0.363887954499404,0.289777760727533,0.0667848686872709,-0.154498201741324
"Br Erec,Non-Zoox,AC,Auto,Auto",-0.383808417871724,0.224371413451282,0.0363101721831691,0.0503790692422092
"Mush,Zoox,Herm,Photo-Auto,Passive FF",0.597127814383336,0.112728674839367,-0.0192760967428976,0.0182131917404146
"Enc,Zoox,Herm,Photo-Auto,Passive FF",0.569409914946967,0.0187001245271982,0.274412730094995,0.113374882229641
"Enc Dig,Zoox,Herm,Photo-Auto,Passive FF",0.605389201216289,0.0784170109199319,-0.0280843238893279,-0.0159388738229047
"Mas Dig,Zoox,Herm,Photo-Auto,Passive FF",0.597127814383337,0.112728674839367,-0.0192760967428978,0.0182131917404143
"Br Fol,Zoox,Herm,Photo-Auto,Passive FF",0.571207022897641,0.120851046341878,-0.135615716667696,0.234871102025562
"Br Glob,Zoox,Herm,Photo-Auto,Passive FF",0.553757521259927,0.202852654333522,-0.00516458920439818,-0.256345160298237
"Mas,Zoox,Herm,Photo-Auto,Passive FF",0.597127814383336,0.112728674839367,-0.0192760967428977,0.0182131917404143
"Br Mat,Non-Zoox,NC,Auto,Auto",-0.373184486331391,-0.0632562344534051,-0.0345090350965024,-0.0378466535751581
"Enc,Non-Zoox,NC,Auto,Auto",-0.349169775701354,-0.139070789130396,0.183924400945662,0.0435941741118155
"Br Fol,Non-Zoox,Non-AC,Auto,Auto",-0.349611984435971,0.223964309062743,-0.0864491756725893,0.223191599891942
"Br Glob,Non-Zoox,NC,Auto,Auto",-0.355317850168543,-0.0122079286418036,-0.035231466321065,-0.228172419011662
"Br Glob,Non-Zoox,Non-AC,Auto,Auto",-0.353463160972354,0.268766752463033,0.00985634757264057,-0.151489664394694
"Enc,unk,NC,unk,Active FF",0.0211805032114765,-0.573908669840198,0.366997789404443,0.0221199165819914
"Enc Dig,Zoox,NC,Photo-Auto,Active FF",0.367789072546856,-0.374398592761435,-0.0465254097464515,-0.119598688219143
"Fil,Non-Zoox,NC,Auto,Auto",-0.368039435674703,-0.076383214602016,-0.0421773561482389,-0.0439851087163205
