Individual_ID,Weight_g,Temp_c,Salinity_ppt,pre_post,Calibration_ID,Assem_HL,Envi_HL,Species_ID,Org_type,Before_After,Notes
B10H,7.525,25.56,36.9,post,post2,H,H,Porites rus,,,
B10H,5.756,,,pre,pre5,H,H,Porites rus,,,
B10L,5.637,,,pre,pre6,H,L,Porites rus,,,
B11H,10.499,25.101,36.9,post,post3,H,H,Porites rus,,yes,
B11H,8.576,,,pre,pre6,H,H,Porites rus,,yes,
B11L,14.733,26.129,36.9,post,post5,H,L,Porites rus,,yes,
B11L,12.902,,,pre,pre6,H,L,Porites rus,,yes,
B12H,4.098,25.608,36.8,post,post1,H,H,Porites rus,,yes,
B12H,2.751,,,pre,pre6,H,H,Porites rus,,yes,
B12L,4.238,26.094,36.9,post,post5,H,L,Porites rus,,yes,
B12L,2.986,,,pre,pre6,H,L,Porites rus,,yes,
B13H,4.633,25.124,36.9,post,post3,H,H,Porites rus,,yes,
B13H,2.954,,,pre,pre6,H,H,Porites rus,,yes,
B13L,5.604,26.179,36.9,post,post6,H,L,Porites rus,,yes,
B13L,4.032,,,pre,pre6,H,L,Porites rus,,yes,
B1H,7.683,25.488,36.9,post,post3,H,H,Porites rus,,yes,
B1H,6.674,28.046,37,pre,pre4,H,H,Porites rus,,yes,
B1L,8.605,26.352,36.9,post,post6,H,L,Porites rus,,yes,
B1L,7.062,28.035,37,pre,pre4,H,L,Porites rus,,yes,
B2H,9.078,26.172,36.9,post,post6,H,H,Porites rus,,yes,
B2H,7.548,27.989,37,pre,pre4,H,H,Porites rus,,yes,
B2L,6.228,26.253,36.9,post,post5,H,L,Porites rus,,yes,
B2L,5.489,27.971,37.1,pre,pre4,H,L,Porites rus,,yes,
B3H,7.336,25.341,36.9,post,post3,H,H,Porites rus,,yes,
B3H,5.793,17.946,37.1,pre,pre4,H,H,Porites rus,,yes,
B3L,8.885,26.012,36.9,post,post5,H,L,Porites rus,,yes,
B3L,7.291,27.935,37.1,pre,pre4,H,L,Porites rus,,yes,
B4H,11.149,25.155,37,post,post3,H,H,Porites rus,,yes,
B4H,8.721,27.736,37.1,pre,pre4,H,H,Porites rus,,yes,
B4L,8.283,26.094,36.9,post,post5,H,L,Porites rus,,yes,
B4L,6.533,27.672,37.1,pre,pre4,H,L,Porites rus,,yes,
B5H,8.48,26.078,36.9,post,post6,H,H,Porites rus,,yes,
B5H,6.608,,,pre,pre5,H,H,Porites rus,,yes,
B5L,8.694,26.163,36.9,post,post5,H,L,Porites rus,,yes,
B5L,6.292,,,pre,pre5,H,L,Porites rus,,yes,
B6H,11.981,26.291,36.9,post,post6,H,H,Porites rus,,,
