Individual_ID,Vol_pre_0,Vol_post_0,Disp_ml_0,Vol_pre_1,Vol_post_1,Disp_ml_1,Diff
P9L,405,435,30,810,835,25,-5
D6H,460,490,30,480,500,20,-10
P7H,465,485,20,475,498,23,3
I3L,420,445,25,470,490,20,-5
I9L,403,416,13,470,485,15,2
I4L,415,430,15,465,480,15,0
M6L,,,,460,475,15,15
I8H,440,460,20,455,475,20,0
M8H,,,,450,460,10,10
D11H,397,410,13,440,455,15,2
I1H,388,405,17,435,451,16,-1
C11H,445,455,10,430,443,13,3
M11H,,,,430,442,12,12
P10H,425,445,20,426,450,24,4
I2H,410,423,13,420,435,15,2
C3H,414,419,5,417,425,8,3
C5L,405,413,8,416,423,7,-1
C8L,435,440,5,415,425,10,5
P5H,390,405,15,415,438,23,8
M13L,,,,415,430,15,15
M6H,,,,415,430,15,15
M7H,,,,415,425,10,10
M1L,,,,413,430,17,17
P12L,453,478,25,410,437,27,2
P13H,390,414,24,410,435,25,1
P10L,470,495,25,407,430,23,-2
M12H,,,,405,422,17,17
M5H,,,,405,420,15,15
D3H,450,465,15,400,415,15,0
I6H,435,440,5,400,415,15,10
I7L,388,398,10,400,417,17,7
C5H,412,420,8,396,405,9,1
C9H,426,435,9,395,404,9,0
I3H,395,420,25,395,413,18,-7
M7L,,,,395,410,15,15
M8L,,,,395,408,13,13
D13L,400,420,20,390,415,25,5
M4H,,,,386,400,14,14
C12H,403,414,11,385,393,8,-3
D9H,410,437,27,385,410,25,-2
I11H,400,415,15,385,400,15,0
C13H,410,420,10,380,386,6,-4
P8L,445,470,25,380,405,25,0
I13H,443,465,22,377,395,18,-4
M13H,,,,375,390,15,15
D1H,460,490,30,370,405,35,5
D7L,445,453,8,370,390,20,12
I4H,455,470,15,370,385,15,0
C8H,440,448,8,365,373,8,0
I7H,375,398,23,365,385,20,-3
M2H,,,,360,370,10,10
P9H,430,457,27,352,381,29,2
D4H,440,460,20,335,355,20,0
I9H,390,405,15,305,320,15,0
C10H,443,450,7,,,0,-7
C10L,406,414,8,,,,
C11L,404,410,6,,,,
C12L,410,416,6,,,0,-6
C13L,411,419,8,,,0,-8
C1H,429,435,6,,,0,-6
C1L,430,440,10,,,0,-10
C2H,433,435,2,,,0,-2
C2L,436,440,4,,,0,-4
C3L,420,429,9,,,0,-9
C4H,415,420,5,,,0,-5
