Individual_ID,pre_post,Weight_g,Assem_HL,Envi_HL,Species_ID,Org_type,Photo_ID,Diameter,Weight_plus_legowrap,Length_to_base,Length_to_longest_root,Before_After,Notes_ww
C11_H,pre,14.2,H,H,Discosoma nummiforme,Soft,,1.3,,,,,"polyp lost in post, do not use"
C11_H,post,14.2,H,H,Discosoma nummiforme,Soft,,0.6,,,,,"main polyp lost, do not use"
C12_H,pre,9.4,H,H,Discosoma nummiforme,Soft,,2.2,,,,,
C12_H,post,9.4,H,H,Discosoma nummiforme,Soft,,1.9,,,,,
C13_H,pre,8.2,H,H,Discosoma nummiforme,Soft,,2.3,,,,,
C13_H,post,7.9,H,H,Discosoma nummiforme,Soft,,1.5,,,,,
C3_H,pre,4.8,H,H,Discosoma nummiforme,Soft,,1.6,,,,,
C3_H,post,5.1,H,H,Discosoma nummiforme,Soft,,1.6,,,,,
C5_H,pre,7.4,H,H,Discosoma nummiforme,Soft,,1.5,,,,yes,
C5_H,post,7.6,H,H,Discosoma nummiforme,Soft,,1.6,,,,yes,
C5_L,pre,5.4,H,L,Discosoma nummiforme,Soft,,1.2,,,,yes,
C5_L,post,5.4,H,L,Discosoma nummiforme,Soft,,1.9,,,,yes,
C8_H,pre,8.5,H,H,Discosoma nummiforme,Soft,,1.6,,,,,"polyp lost in post, do not use"
C8_H,post,8.5,H,H,Discosoma nummiforme,Soft,,0.9,,,,,"main polyp lost, do not use"
C8_L,pre,10.4,H,L,Discosoma nummiforme,Soft,,1.4,,,,,
C8_L,post,10.6,H,L,Discosoma nummiforme,Soft,,1.7,,,,,
C9_H,pre,7.8,H,H,Discosoma nummiforme,Soft,,2,,,,,
C9_H,post,7.7,H,H,Discosoma nummiforme,Soft,,1.7,,,,,
D11_H,pre,19.5,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,
D11_H,post,19.5,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,
D13_H,pre,18.7,H,H,Lendenfeldia chondrodes,Sponge,,,,,,yes,
D13_H,post,31.8,H,H,Lendenfeldia chondrodes,Sponge,,,,,,yes,
D13_L,pre,24.5,H,L,Lendenfeldia chondrodes,Sponge,,,,,,yes,
D13_L,post,25.9,H,L,Lendenfeldia chondrodes,Sponge,,,,,,yes,
D1_H,pre,31.5,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,
D1_H,post,34.6,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,
D3_H,pre,17.5,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,"ripped in post, do not use"
D3_H,post,16.3,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,"ripped, do not use"
D4_H,pre,24.9,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,"ripped in post, do not use"
D4_H,post,22.6,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,"ripped, do not use"
D7_L,pre,22.1,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,"ripped in post, do not use"
D7_L,pre,22.5,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,"ripped in post, do not use"
D7_L,post,20.6,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,"ripped, do not use"
