Individual_ID,Weight_g_0,Weight_g_1,Assem_HL,Envi_HL,Species_ID,Org_type,Photo_ID_0,Photo_ID_1,Diameter_0,Diameter_1,Weight_plus_legowrap_0,Weight_plus_legowrap_1,Length_to_base_0,Length_to_base_1,Length_to_longest_root_0,Length_to_longest_root_1
A10H,1.6,,H,H,Amansia rhodantha,Algae,,,,,4.1,,,,,
A10L,0.8,,H,L,Amansia rhodantha,Algae,,,,,3.3,,,,,
A11H,1.4,,H,H,Amansia rhodantha,Algae,,,,,4,,,,,
A11L,1.5,,H,L,Amansia rhodantha,Algae,,,,,4,,,,,
A12H,2.3,,H,H,Amansia rhodantha,Algae,,,,,4.7,,,,,
A12L,2.9,,H,L,Amansia rhodantha,Algae,,,,,5.4,,,,,
A13H,0.8,,H,H,Amansia rhodantha,Algae,,,,,3.9,,,,,
A13L,1,,H,L,Amansia rhodantha,Algae,,,,,3.5,,,,,
A1H,1.7,,H,H,Amansia rhodantha,Algae,,,,,4.3,,,,,
A1L,1.8,,H,L,Amansia rhodantha,Algae,,,,,4.2,,,,,
A2H,0.9,,H,H,Amansia rhodantha,Algae,,,,,3.2,,,,,
A2L,1.6,,H,L,Amansia rhodantha,Algae,,,,,3.9,,,,,
A3H,1.3,,H,H,Amansia rhodantha,Algae,,,,,3.9,,,,,
A3L,1.1,,H,L,Amansia rhodantha,Algae,,,,,3.5,,,,,
A4H,0.8,,H,H,Amansia rhodantha,Algae,,,,,3.4,,,,,
A4L,0.9,,H,L,Amansia rhodantha,Algae,,,,,3.3,,,,,
A5H,2.2,,H,H,Amansia rhodantha,Algae,,,,,4.4,,,,,
A5L,1.6,,H,L,Amansia rhodantha,Algae,,,,,4,,,,,
A6H,1.1,,H,H,Amansia rhodantha,Algae,,,,,3.5,,,,,
A6L,1.3,,H,L,Amansia rhodantha,Algae,,,,,3.7,,,,,
A7H,1.7,,H,H,Amansia rhodantha,Algae,,,,,4,,,,,
A7L,1.9,,H,L,Amansia rhodantha,Algae,,,,,4.5,,,,,
A8H,1.4,,H,H,Amansia rhodantha,Algae,,,,,3.8,,,,,
A8L,1.2,,H,L,Amansia rhodantha,Algae,,,,,3.6,,,,,
A9H,1.2,,H,H,Amansia rhodantha,Algae,,,,,3.7,,,,,
A9L,1.8,,H,L,Amansia rhodantha,Algae,,,,,4.3,,,,,
C10H,7.4,,H,H,Discosoma nummiforme,Soft,,,1.6,,,,,,,
C10L,6.2,,H,L,Discosoma nummiforme,Soft,,,1.4,,,,,,,
C11H,14.2,14.1,H,H,Discosoma nummiforme,Soft,,,1.3,0.6,,,,,,
C11L,6.7,,H,L,Discosoma nummiforme,Soft,,,2,,,,,,,
C12H,9.4,9.4,H,H,Discosoma nummiforme,Soft,,,2.2,1.9,,,,,,
C12L,5.6,,H,L,Discosoma nummiforme,Soft,,,2,,,,,,,
C13H,8.2,7.9,H,H,Discosoma nummiforme,Soft,,,2.3,1.4,,,,,,
C13L,5.5,,H,L,Discosoma nummiforme,Soft,,,1.9,,,,,,,
C1H,7.7,,H,H,Discosoma nummiforme,Soft,,,1.8,,,,,,,
C1L,8.3,,H,L,Discosoma nummiforme,Soft,,,1.6,,,,,,,
C2H,4,,H,H,Discosoma nummiforme,Soft,,,1.5,,,,,,,
C2L,3.8,,H,L,Discosoma nummiforme,Soft,,,1.3,,,,,,,
C3H,4.8,5.1,H,H,Discosoma nummiforme,Soft,,,1.6,1.4,,,,,,
C3L,9.7,,H,L,Discosoma nummiforme,Soft,,,2.4,,,,,,,
C4H,5.3,,H,H,Discosoma nummiforme,Soft,,,1.5,,,,,,,
C4L,3.2,,H,L,Discosoma nummiforme,Soft,,,1.4,,,,,,,
C5H,7.4,7.6,H,H,Discosoma nummiforme,Soft,,,1.5,7.6,,,,,,
C5L,5.4,5.4,H,L,Discosoma nummiforme,Soft,,,1.2,1.3,,,,,,
