Taxonomy_Substrate_Functional_Group,n
Actinotrichia fragilis,5
Algal Turf,617
Amansia rhodantha,332
Amphiroa fragilissima,36
Ascidian,2
Bare Space,13
Boodlea kaeneana,1
Caulerpa racemosa,28
Caulerpa serrulata,5
Chlorodesmis fastigiata,1
Cladophoropsis membranacea,1
Colpomenia sinuosa,1
Coral,566
Coral Rubble,37
Corallimorpharia,44
Crustose Corallines,163
Cyanophyta,60
Damselfish Turf,78
Dichotomaria marginata,51
Dichotomaria obtusata,8
Dictyosphaeria cavernosa,7
Dictyosphaeria versluysii,9
Dictyota bartayresiana,132
Dictyota friabilis,3
Dictyota sp.,27
Galaxaura filamentosa,5
Galaxaura rugosa,16
Galaxaura sp.,11
Gelidiella acerosa,1
Halimeda discoidea,1
Halimeda distorta,7
Halimeda incrassata,1
Halimeda minima,122
Halimeda opuntia,138
Halimeda sp.,60
Lobophora variegata,1
Shell Debris,2
Sponge,5
Sporolithon sp.,1
Turbinaria ornata,117
Valonia aegagropila,2
Valonia ventricosa,1
