nominal_year,site,quadrat,photo_id,taxonomy,cover_percent,n_points
2006,LTER 1,1,DSC_1409,other Scleractinia,  27.22,200
2006,LTER 1,2,DSC_1410,other Scleractinia,  40.36,200
2006,LTER 1,3,DSC_1411,other Scleractinia,  52.94,200
2006,LTER 1,4,DSC_1412,other Scleractinia,  58.38,200
2006,LTER 1,5,DSC_1413,other Scleractinia,  37.50,200
2006,LTER 1,6,DSC_1414,other Scleractinia,  54.88,200
2006,LTER 1,7,DSC_1415,other Scleractinia,  23.35,200
2006,LTER 1,8,DSC_1416,other Scleractinia,  58.33,200
2006,LTER 1,10,DSC_1418,other Scleractinia,  33.33,200
2006,LTER 1,11,DSC_1419,other Scleractinia,  41.04,200
2006,LTER 1,12,DSC_1420,other Scleractinia,  43.35,200
2006,LTER 1,14,DSC_1422,other Scleractinia,  68.39,200
2006,LTER 1,15,DSC_1423,other Scleractinia,  82.66,200
2006,LTER 1,17,DSC_1425,other Scleractinia,  25.44,200
2006,LTER 1,18,DSC_1426,other Scleractinia,  45.83,200
2006,LTER 1,19,DSC_1427,other Scleractinia,   0.00,200
2006,LTER 1,21,DSC_1429,other Scleractinia,  38.15,200
2006,LTER 1,22,DSC_1430,other Scleractinia,  30.41,200
2006,LTER 1,23,DSC_1431,other Scleractinia,  56.57,200
2006,LTER 1,24,DSC_1432,other Scleractinia,  62.94,200
2006,LTER 1,25,DSC_1433,other Scleractinia,  59.77,200
2006,LTER 1,26,DSC_1434,other Scleractinia,  58.08,200
2006,LTER 1,28,DSC_1436,other Scleractinia,  28.24,200
2006,LTER 1,29,DSC_1437,other Scleractinia,  41.42,200
2006,LTER 1,30,DSC_1438,other Scleractinia,  69.59,200
2006,LTER 1,31,DSC_1439,other Scleractinia,  51.79,200
2006,LTER 1,32,DSC_1440,other Scleractinia,  62.28,200
2006,LTER 1,33,DSC_1441,other Scleractinia,  40.46,200
2006,LTER 1,34,DSC_1442,other Scleractinia,  61.21,200
2006,LTER 1,35,DSC_1443,other Scleractinia,  58.96,200
2006,LTER 1,37,DSC_1445,other Scleractinia,  49.13,200
2006,LTER 1,38,DSC_1446,other Scleractinia,  32.02,200
2006,LTER 1,39,DSC_1447,other Scleractinia,  24.86,200
2006,LTER 1,40,DSC_1448,other Scleractinia,  40.80,200
2006,LTER 1,41,DSC_1449,other Scleractinia,  22.89,200
2006,LTER 1,42,DSC_1450,other Scleractinia,  52.98,200
2006,LTER 1,43,DSC_1451,other Scleractinia,  40.70,200
2006,LTER 1,44,DSC_1452,other Scleractinia,  65.32,200
2006,LTER 2,1,DSC_1529,other Scleractinia,  42.86,200
2006,LTER 2,2,DSC_1530,other Scleractinia,  46.55,200
2006,LTER 2,3,DSC_1531,other Scleractinia,  27.33,200
2006,LTER 2,4,DSC_1532,other Scleractinia,  43.20,200
2006,LTER 2,5,DSC_1533,other Scleractinia,  21.56,200
2006,LTER 2,6,DSC_1534,other Scleractinia,  65.64,200
2006,LTER 2,7,DSC_1535,other Scleractinia,  40.35,200
2006,LTER 2,8,DSC_1536,other Scleractinia,  16.87,200
2006,LTER 2,10,DSC_1538,other Scleractinia,  25.90,200
2006,LTER 2,11,DSC_1539,other Scleractinia,  47.27,200
2006,LTER 2,12,DSC_1540,other Scleractinia,  29.65,200
2006,LTER 2,13,DSC_1541,other Scleractinia,  14.02,200
2006,LTER 2,14,DSC_1542,other Scleractinia,  22.09,200
2006,LTER 2,15,DSC_1543,other Scleractinia,  27.49,200
2006,LTER 2,16,DSC_1544,other Scleractinia,  29.76,200
2006,LTER 2,17,DSC_1545,other Scleractinia,  24.70,200
2006,LTER 2,19,DSC_1547,other Scleractinia,  57.65,200
2006,LTER 2,20,DSC_1548,other Scleractinia,  33.55,200
2006,LTER 2,21,DSC_1549,other Scleractinia,  16.97,200
2006,LTER 2,22,DSC_1550,other Scleractinia,  12.14,200
2006,LTER 2,24,DSC_1552,other Scleractinia,  24.40,200
2006,LTER 2,25,DSC_1553,other Scleractinia,  30.00,200
2006,LTER 2,26,DSC_1554,other Scleractinia,  58.02,200
2006,LTER 2,27,DSC_1555,other Scleractinia,  29.94,200
2006,LTER 2,30,DSC_1558,other Scleractinia,  17.37,200
2006,LTER 2,31,DSC_1559,other Scleractinia,  44.51,200
2006,LTER 2,32,DSC_1560,other Scleractinia,  19.65,200
2006,LTER 2,33,DSC_1561,other Scleractinia,  11.59,200
2006,LTER 2,34,DSC_1562,other Scleractinia,  16.87,200
2006,LTER 2,35,DSC_1563,other Scleractinia,  26.47,200
2006,LTER 2,36,DSC_1564,other Scleractinia,  30.72,200
2006,LTER 2,37,DSC_1565,other Scleractinia,  30.49,200
2006,LTER 2,39,DSC_1567,other Scleractinia,  10.43,200
2006,LTER 2,40,DSC_1568,other Scleractinia,  24.56,200
2006,LTER 2,41,DSC_1569,other Scleractinia,   6.75,200
2006,LTER 2,42,DSC_1570,other Scleractinia,  13.86,200
2006,LTER 2,43,DSC_1571,other Scleractinia,  35.50,200
2006,LTER 2,44,DSC_1572,other Scleractinia,  26.16,200
2006,LTER 2,45,DSC_1573,other Scleractinia,  34.29,200
2006,LTER 2,46,DSC_1574,other Scleractinia,  18.29,200
2006,LTER 3,1,DSC_1788,other Scleractinia,  27.49,200
2006,LTER 3,3,DSC_1790,other Scleractinia,  21.43,200
2006,LTER 3,4,DSC_1791,other Scleractinia,  57.40,200
2006,LTER 3,5,DSC_1792,other Scleractinia,  32.16,200
2006,LTER 3,6,DSC_1793,other Scleractinia,  31.36,200
2006,LTER 3,8,DSC_1795,other Scleractinia,  27.11,200
2006,LTER 3,9,DSC_1796,other Scleractinia,  20.48,200
2006,LTER 3,10,DSC_1797,other Scleractinia,  28.07,200
2006,LTER 3,12,DSC_1799,other Scleractinia,  24.71,200
