lon,lat,Location,CowTagID
-149.89938564317643,-17.540748451617972,Varari,random_1
-149.89930996692178,-17.5407439635482,Varari,random_2
-149.8992513062189,-17.54073788901475,Varari,random_3
-149.89902483863352,-17.54067078956799,Varari,random_4
-149.89924880076404,-17.54065632619274,Varari,random_5
-149.89980121949054,-17.54064022928741,Varari,random_6
-149.90004801826169,-17.540610392519522,Varari,random_7
-149.89940016667853,-17.54060965009469,Varari,random_8
-149.89945839811193,-17.540582199114116,Varari,random_9
-149.89957649383186,-17.540559329261995,Varari,random_10
-149.89900918232672,-17.54055011595164,Varari,random_11
-149.89988623600036,-17.54053121750356,Varari,random_12
-149.90011157816312,-17.540529647874347,Varari,random_13
-149.8995480982601,-17.540526815051116,Varari,random_14
-149.89930513155406,-17.54052358114471,Varari,random_15
-149.8995684855262,-17.540489235795018,Varari,random_16
-149.8996901791882,-17.54047020309052,Varari,random_17
-149.89946782743405,-17.540442124970777,Varari,random_18
-149.90046180820187,-17.540428503615004,Varari,random_19
-149.9004467428813,-17.540417026269424,Varari,random_20
-149.89950105716264,-17.54039050089998,Varari,random_21
-149.89950923204154,-17.540387745536293,Varari,random_22
-149.89938304264345,-17.540384464097297,Varari,random_23
-149.89938267448514,-17.540382063343362,Varari,random_24
-149.89939883147397,-17.540361990110657,Varari,random_25
-149.90014699689954,-17.540361886021042,Varari,random_26
-149.90024611743291,-17.54034433160953,Varari,random_27
-149.90028162891554,-17.540312400552555,Varari,random_28
-149.90002681703945,-17.54030181513406,Varari,random_29
-149.89954812548456,-17.540289434193326,Varari,random_30
-149.9004344569322,-17.540289244706123,Varari,random_31
-149.89955882837302,-17.54028254597915,Varari,random_32
-149.900253863835,-17.540280708359777,Varari,random_33
-149.89987357502693,-17.540259281433993,Varari,random_34
-149.90004679848903,-17.54025787489215,Varari,random_35
-149.90013359561436,-17.540253613856287,Varari,random_36
-149.8995122124111,-17.5402318807406,Varari,random_37
-149.90033180483715,-17.540215645505974,Varari,random_38
-149.89949285349195,-17.54020943874051,Varari,random_39
