lon,lat,Location
-149.89938564317643,-17.540748451617972,Varari
-149.89930996692178,-17.5407439635482,Varari
-149.8992513062189,-17.54073788901475,Varari
-149.89902483863352,-17.54067078956799,Varari
-149.89924880076404,-17.54065632619274,Varari
-149.89980121949054,-17.54064022928741,Varari
-149.90004801826169,-17.540610392519522,Varari
-149.89940016667853,-17.54060965009469,Varari
-149.89945839811193,-17.540582199114116,Varari
-149.89957649383186,-17.540559329261995,Varari
-149.89900918232672,-17.540550115951635,Varari
-149.89988623600036,-17.54053121750356,Varari
-149.90011157816312,-17.540529647874347,Varari
-149.8995480982601,-17.540526815051116,Varari
-149.89930513155406,-17.54052358114471,Varari
-149.8995684855262,-17.540489235795018,Varari
-149.8996901791882,-17.54047020309052,Varari
-149.89946782743405,-17.540442124970777,Varari
-149.90046180820187,-17.540428503615004,Varari
-149.9004467428813,-17.54041702626942,Varari
-149.89950105716264,-17.54039050089998,Varari
-149.89950923204154,-17.540387745536293,Varari
-149.89938304264345,-17.540384464097297,Varari
-149.89938267448514,-17.540382063343362,Varari
-149.89939883147397,-17.540361990110657,Varari
-149.90014699689954,-17.54036188602104,Varari
-149.90024611743291,-17.54034433160953,Varari
-149.90028162891554,-17.540312400552555,Varari
-149.90002681703945,-17.54030181513406,Varari
-149.89954812548456,-17.540289434193326,Varari
-149.9004344569322,-17.540289244706123,Varari
-149.89955882837302,-17.54028254597915,Varari
-149.900253863835,-17.540280708359777,Varari
-149.89987357502693,-17.540259281433993,Varari
-149.90004679848903,-17.54025787489215,Varari
-149.90013359561436,-17.540253613856287,Varari
-149.8995122124111,-17.5402318807406,Varari
-149.90033180483715,-17.540215645505974,Varari
-149.89949285349195,-17.54020943874051,Varari
-149.90029732549786,-17.54020747280667,Varari
-149.90044421298296,-17.540200769536227,Varari
-149.8995794800406,-17.54019913103035,Varari
-149.8997041546458,-17.540196539663825,Varari
-149.90033491904606,-17.54017535934062,Varari
-149.90012554733707,-17.54016473991085,Varari
-149.90002994165948,-17.54016352629641,Varari
-149.9000923710291,-17.540157853979828,Varari
-149.8997370539241,-17.54015155296735,Varari
-149.89969908287392,-17.54014868029235,Varari
-149.89982094631486,-17.540135327196328,Varari
-149.90043218630035,-17.540130790425234,Varari
-149.90067641166013,-17.540128167923065,Varari
-149.90048607300767,-17.54012509804788,Varari
-149.89991649910903,-17.540111746682076,Varari
-149.89967959058578,-17.540105427230408,Varari
-149.8999052976592,-17.54008332874479,Varari
-149.89968178012205,-17.540078485792115,Varari
-149.90063145888377,-17.54007699859121,Varari
-149.8997450110903,-17.540071307992406,Varari
-149.9003764303915,-17.540040080455075,Varari
-149.90060003242223,-17.540028877900696,Varari
-149.90054807002753,-17.540022244848863,Varari
-149.9002720894344,-17.5400120900269,Varari
-149.90049714211403,-17.53997365910215,Varari
-149.9003907727693,-17.53994391610821,Varari
-149.89998914561608,-17.53992908874942,Varari
-149.9006238239572,-17.539840867607076,Varari
-149.90017842914443,-17.539818793630104,Varari
-149.90045369211242,-17.539739358980288,Varari
-149.9004459061242,-17.539737343059485,Varari
-149.90024306182715,-17.539736061032436,Varari
-149.9004437443745,-17.5397257977636,Varari
-149.90029225336536,-17.539669007541683,Varari
-149.90041318407606,-17.53966678351486,Varari
-149.9004499702059,-17.5395188339759,Varari
-149.9006267273402,-17.53949919227511,Varari
-149.90072995806764,-17.539456179273778,Varari
-149.90069219347288,-17.539445850257238,Varari
-149.900655591235,-17.539419611602753,Varari
-149.90058540988653,-17.539391998641477,Varari
-149.91285058324132,-17.51809739326864,Cabral
-149.91291738685078,-17.517937150206624,Cabral
-149.9129729325085,-17.5179333490209,Cabral
-149.91245132873587,-17.51791250955778,Cabral
-149.91301526001638,-17.517805152126922,Cabral
-149.91304262011408,-17.51778591587754,Cabral
-149.91252504800002,-17.517783004834545,Cabral
-149.91252851718497,-17.517758873802585,Cabral
-149.91302235586258,-17.517740862336346,Cabral
-149.91269032061118,-17.517738645384256,Cabral
-149.91286373965627,-17.5177263385011,Cabral
-149.91238843616927,-17.517669838991345,Cabral
-149.9130741692998,-17.51762113772318,Cabral
-149.91286799689524,-17.517607729466874,Cabral
-149.91253042988137,-17.517532040910325,Cabral
-149.91309129508014,-17.517411858812803,Cabral
-149.9131077549432,-17.51739884433571,Cabral
-149.9129708415387,-17.51739147459421,Cabral
-149.91278876920953,-17.51735710599612,Cabral
-149.91286074548987,-17.517340284270414,Cabral
-149.9128093261323,-17.517334459520775,Cabral
