CowTagID,NbSp,NbSpP,NbFEs,NbFEsP,Vol8D
V4,18,35.294117647058826,11,50,27.099304139486772
V18,16,31.372549019607842,13,59.09090909090909,40.522430684271086
V3,19,37.254901960784316,15,68.18181818181817,32.65600523822329
V14,10,19.607843137254903,7,31.818181818181817,10.516395961067348
V16,11,21.568627450980394,8,36.36363636363637,22.88720179626918
V17,8,15.686274509803921,6,27.27272727272727,2.688418064723263
V20,10,19.607843137254903,7,31.818181818181817,19.388986665193798
V9,12,23.52941176470588,8,36.36363636363637,6.80220006996991
V8,16,31.372549019607842,13,59.09090909090909,36.918822280027186
V19,19,37.254901960784316,15,68.18181818181817,63.324071701883014
V15,22,43.13725490196079,16,72.72727272727273,45.9784947499462
V11,19,37.254901960784316,14,63.63636363636363,45.9784947499462
V12,19,37.254901960784316,12,54.54545454545454,50.75464118457646
V5,17,33.33333333333333,14,63.63636363636363,64.7457582930879
V10,15,29.411764705882355,11,50,26.21541543435698
V2,29,56.86274509803921,16,72.72727272727273,61.8020578859919
V6,18,35.294117647058826,13,59.09090909090909,53.697083214270116
V1,20,39.21568627450981,12,54.54545454545454,25.086266092920408
V7,14,27.450980392156865,11,50,48.86329843456767
VSEEP,1,1.9607843137254901,1,3.571428571428571,0
