CowTagID,NbSp,NbSpP,NbFEs,NbFEsP
V4,7,41.17647058823529,7,46.666666666666664
V18,3,17.647058823529413,3,20
V3,5,29.411764705882355,5,33.33333333333333
V14,4,23.52941176470588,4,26.666666666666668
V16,5,29.411764705882355,5,33.33333333333333
V17,4,23.52941176470588,4,26.666666666666668
V20,3,17.647058823529413,3,20
V9,2,11.76470588235294,2,13.333333333333334
V8,5,29.411764705882355,5,33.33333333333333
V19,6,35.294117647058826,6,40
V15,5,29.411764705882355,5,33.33333333333333
V11,7,41.17647058823529,7,46.666666666666664
V12,4,23.52941176470588,4,26.666666666666668
V5,5,29.411764705882355,5,33.33333333333333
V10,3,17.647058823529413,3,20
V2,6,35.294117647058826,6,40
V6,4,23.52941176470588,4,26.666666666666668
V1,4,23.52941176470588,4,26.666666666666668
V7,4,23.52941176470588,4,26.666666666666668
VSEEP,1,5.88235294117647,1,5.88235294117647
