CowTagID,Turf,Crustose Corallines,Turbinaria ornata,Pocillopora acuta,Porites rus,Halimeda incrassata,Halimeda opuntia,Dictyota bartayresiana,Lobophora variegata,Padina boryana,Montipora grisea,Porites lobata,Porites lutea,Heteractis magnifica,Discosoma nummiforme,Montipora setosa,Grey Sponge
V4,10.98901099,14.28571429,25.27472527,7.692307692,6.593406593,9.89010989,5.494505495,0,0,0,0,0,0,0,0,0,0
V3,17.6056338,9.85915493,26.05633803,9.154929577,11.26760563,0,0,0,0,0,0,0,0,0,0,0,0
V14,0,0,8,0,0,0,0,8,8,52,0,0,0,0,0,0,0
V16,0,12.24489796,24.48979592,0,0,0,0,6.12244898,0,0,28.57142857,14.28571429,0,0,0,0,0
V17,6.818181818,0,22.72727273,0,0,0,0,20.45454545,0,38.63636364,0,0,0,0,0,0,0
V20,0,0,15.90909091,0,0,0,0,0,0,38.63636364,0,0,25,0,0,0,0
V18,59.77653631,0,6.703910615,0,14.52513966,0,0,0,0,0,0,0,0,0,0,0,0
V8,41.97530864,6.790123457,0,7.407407407,11.11111111,0,0,0,0,0,0,0,0,16.66666667,0,0,0
V19,20.32520325,6.504065041,10.56910569,0,5.691056911,0,0,13.00813008,0,0,23.57723577,0,0,0,0,0,0
V9,18.88111888,0,0,0,60.13986014,0,0,0,0,0,0,0,0,0,0,0,0
V15,33.5,9,11,10,13,0,0,0,0,0,0,0,0,0,0,0,0
V11,28.91566265,5.421686747,10.24096386,13.25301205,0,0,0,5.421686747,0,0,0,0,0,5.421686747,10.24096386,0,0
V12,35.86206897,0,8.275862069,26.89655172,5.517241379,0,0,0,0,0,0,0,0,0,0,0,0
V5,42.30769231,0,7.051282051,0,0,0,0,5.128205128,0,0,0,19.23076923,0,0,0,6.41025641,0
V10,56.37254902,0,0,19.60784314,7.843137255,0,0,0,0,0,0,0,0,0,0,0,0
V2,22.75132275,6.349206349,10.05291005,14.28571429,0,0,0,6.878306878,0,0,0,0,0,0,0,0,7.936507937
V6,11.80555556,0,28.47222222,0,27.77777778,0,0,0,5.555555556,0,0,0,0,0,0,0,0
V1,12.04819277,0,13.25301205,0,43.97590361,0,0,8.43373494,0,0,0,0,0,0,0,0,0
V7,19.8019802,0,33.66336634,0,7.920792079,0,0,14.85148515,0,0,0,0,0,0,0,0,0
VSEEP,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
