Taxa,FE
Amansia rhodantha,"Rhodophyta,Br,NC,Auto"
Amphiroa fragilissima,"Rhodophyta,Br,AC,Auto"
Avrainvillea erecta,"Chlorophyta,Fol,NC,Auto"
Caulerpa racemosa,"Chlorophyta,Stol,NC,Auto"
Caulerpa serrulata,"Chlorophyta,Stol,NC,Auto"
Crustose Corallines,"Rhodophyta,Enc,Non-AC,Auto"
Cyanobacteria,"Cyanobacteria,Enc,NC,Auto"
Cyphastrea microphthalma,"Scleractinia,Enc,Herm,Mix"
Danafungia scruposa,"Scleractinia,Mush,Herm,Mix"
Dictyosphaeria sp.,"Chlorophyta,Cushion,NC,Auto"
Dictyota bartayresiana,"Phaeophyta,Br,NC,Auto"
Dictyota friabilis,"Phaeophyta,Br,NC,Auto"
Discosoma nummiforme,"Corallimorpharia,Poly,NC,Mix"
Galaxaura divaricata,"Rhodophyta,Br,Non-AC,Auto"
Galaxaura rugosa,"Rhodophyta,Br,AC,Auto"
Goniastrea stelligera,"Scleractinia,Mas,Herm,Mix"
Gracilaria verrucosa,"Rhodophyta,Br,NC,Auto"
Grey Sponge,"Porifera,Enc,NC,Het"
Halimeda distorta,"Chlorophyta,Br,AC,Auto"
Halimeda incrassata,"Chlorophyta,Br,AC,Auto"
Halimeda macroloba,"Chlorophyta,Br,AC,Auto"
Halimeda minima,"Chlorophyta,Br,AC,Auto"
Halimeda opuntia,"Chlorophyta,Br,AC,Auto"
Heteractis magnifica,"Actiniaria,Poly,NC,Mix"
Hypnea pannosa,"Rhodophyta,Br,NC,Auto"
Lendenfeldia chondrodes,"Porifera,Enc,NC,Het"
Leptastrea transversa,"Scleractinia,Enc,Herm,Mix"
Leptoseris mycetoseroides,"Scleractinia,Enc,Herm,Mix"
Lithophyllum kotschyanum,"Rhodophyta,Enc,Non-AC,Auto"
Lobophora variegata,"Phaeophyta,Enc,NC,Auto"
Montipora efflorescens,"Scleractinia,Enc,Herm,Mix"
Montipora setosa,"Scleractinia,Dig,Herm,Mix"
Montipora verrilli,"Scleractinia,Enc,Herm,Mix"
Padina boryana,"Phaeophyta,Fol,Non-AC,Auto"
Pavona cactus,"Scleractinia,Fol,Herm,Mix"
Pavona chiriquiensis,"Scleractinia,Enc,Herm,Mix"
Pocillopora acuta,"Scleractinia,Br,Herm,Mix"
Pocillopora verrucosa,"Scleractinia,Br,Herm,Mix"
Porites irregularis,"Scleractinia,Mas,Herm,Mix"
Porites lobata,"Scleractinia,Mas,Herm,Mix"
Porites lutea,"Scleractinia,Mas,Herm,Mix"
Porites rus,"Scleractinia,Mas,Herm,Mix"
Psammocora stellata,"Scleractinia,Dig,Herm,Mix"
Sargassum pacificum,"Phaeophyta,Br,NC,Auto"
Stylocoeniella armata,"Scleractinia,Enc,Herm,Mix"
Turbinaria ornata,"Phaeophyta,Br,NC,Auto"
Turf,"Chlorophyta,Fil,NC,Auto"
Valonia fastigiata,"Chlorophyta,Cushion,NC,Auto"
Valonia macrophysa,"Chlorophyta,Cushion,NC,Auto"
Valonia ventricosa,"Chlorophyta,Sph,NC,Auto"
Verongida sp.,"Porifera,Enc,NC,Het"
