Taxa,FE
Crustose Corallines,"Rhodophyta,Enc,Non-AC,Perennial,10-20 cm,Auto,Photo"
Dictyota bartayresiana,"Phaeophyta,Br,NC,Annual,10-20 cm,Auto,Photo"
Discosoma nummiforme,"Corallimorpharia,Poly,NC,Perennial,< 10cm,Mix,Pas FF"
Grey Sponge,"Porifera,Enc,NC,unk,21-50 cm,Het,Act FF"
Halimeda incrassata,"Chlorophyta,Br,AC,unreported,< 10cm,Auto,Photo"
Halimeda opuntia,"Chlorophyta,Br,AC,unreported,21-50 cm,Auto,Photo"
Heteractis magnifica,"Actiniaria,Poly,NC,Perennial,51-100 cm,Mix,Pas FF"
Lobophora variegata,"Phaeophyta,Enc,NC,unreported,10-20 cm,Auto,Photo"
Montipora efflorescens,"Scleractinia,Enc,Herm,Perennial,> 100 cm,Mix,Pas FF"
Montipora setosa,"Scleractinia,Dig,Herm,Perennial,> 100 cm,Mix,Pas FF"
Padina boryana,"Phaeophyta,Fol,Non-AC,Annual,< 10cm,Auto,Photo"
Pocillopora acuta,"Scleractinia,Br,Herm,Perennial,21-50 cm,Mix,Pas FF"
Porites lobata,"Scleractinia,Mas,Herm,Perennial,> 100 cm,Mix,Pas FF"
Porites lutea,"Scleractinia,Mas,Herm,Perennial,> 100 cm,Mix,Pas FF"
Porites rus,"Scleractinia,Mas,Herm,Perennial,> 100 cm,Mix,Pas FF"
Turbinaria ornata,"Phaeophyta,Br,NC,unk,10-20 cm,Auto,Photo"
Turf,"Chlorophyta,Fil,NC,Annual,< 10 cm,Auto,Photo"
