date,site,Top_Plate_ID,plate.num,quad,time,photo.num,DS.1,DS.2,DS.3,DS.4,DS.5,DS.6,DS.7,DS.8,DS.9,DS.10,DS.11,DS.12,DS.13,DS.14,DS.15,DS.16,DS.17,DS.18,DS.19,DS.20,DS.21,DS.22,DS.23,DS.24,DS.25
20210804,Varari,V1,201,A,10:35,100-2404,Porites rus,Porites rus,Porites rus,Porites rus,Dictyota,Porites rus,Porites rus,Porites rus,sand,Dictyota,Porites rus,Porites rus,Porites rus,Porites rus,bare rock,Porites rus,Porites rus,bare rock,turf,turf,Porites rus,Porites rus,turf,turf,turf
20210804,Varari,V1,201,B,10:50,100-2422,sand,sand,sand,sand,sand,sand,sand,sand,bare rock,Galaxaura fasciculata,sand,sand,Leptastrea transversa,Dictyosphaeria versluysii,Turbinaria ornata,turf,sand,Leptastrea transversa,Leptastrea transversa,sand,turf,turf,Leptastrea transversa,Dictyosphaeria versluysii,Dictyosphaeria versluysii
20210804,Varari,V1,201,C,11:06,100-2446,Porites rus,Porites rus,Porites rus,turf,turf,Porites rus,Porites rus,Porites rus,turf,turf,Porites rus,Porites rus,Porites rus,Porites rus,Porites rus,Porites rus,Porites rus,Porites rus,bare rock,bare rock,Porites rus,Porites rus,Porites rus,Lithophyllum kotschyanum,bare rock
20210804,Varari,V1,201,D,11:12,100-2455,turf,turf,turf,bare rock,bare rock,Lithophyllum kotschyanum,turf,bare rock,sand,bare rock,sand,sand,sand,CCA_1,CCA_1,sand,sand,sand,CCA_1,Dictyota,sand,sand,sand,sand,sand
20210804,Varari,V2,202,A,12:14,100-2470,Dictyoceratida (sponge),Dictyota,Dictyota,turf,Turbinaria ornata,Dictyota,Dictyota,Dictyota,Dictyota,Turbinaria ornata,bare rock,Dictyota,Dictyota,Turbinaria ornata,Turbinaria ornata,Dictyota,Dictyota,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Dictyota,Dictyota,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata
20210804,Varari,V2,202,B,12:18,100-2475,turf,turf,turf,Pocillopora acuta,Pocillopora acuta,Turbinaria ornata,turf,turf,Pocillopora acuta,Lithophyllum kotschyanum,Turbinaria ornata,turf,turf,Turbinaria ornata,Pocillopora acuta,Turbinaria ornata,Pocillopora acuta,Halimeda,Turbinaria ornata,Pocillopora acuta,Turbinaria ornata,Pocillopora acuta,Halimeda,Turbinaria ornata,Turbinaria ornata
20210804,Varari,V2,202,C,12:36,100-2497,Dictyota,Dictyoceratida (sponge),Turbinaria ornata,Turbinaria ornata,turf,Dictyota,turf,turf,turf,turf,Halimeda,turf,turf,Turbinaria ornata,turf,Turbinaria ornata,Turbinaria ornata,Lithothamnion CCA?,Valonia,turf,Turbinaria ornata,Turbinaria ornata,Valonia,anemone,anemone
20210804,Varari,V2,202,D,12:45,100-2519,sand,Dictyota,bare rock,bare rock,Halimeda,sand,Pocillopora acuta,bare rock,bare rock,sand,turf,sand,sand,sand,sand,turf,turf,turf,turf,turf,Amansia rhodantha,turf,Amansia rhodantha,turf,turf
20210804,Varari,V3,203,A,13:00,100-2545,Turbinaria ornata,Porites rus,turf,Turbinaria ornata,Valonia,Turbinaria ornata,Pocillopora acuta,Pocillopora acuta,turf,turf,Lithophyllum kotschyanum,Pocillopora acuta,Pocillopora acuta,turf,turf,turf,turf,turf,turf,turf,bare rock,bare rock,turf,turf,turf
20210804,Varari,V3,203,B,13:10,100-2562,Turbinaria ornata,Turbinaria ornata,turf,turf,Turbinaria ornata,Valonia,turf,turf,Amansia rhodantha,Amansia rhodantha,Porites rus,Valonia,bare rock,Valonia,Valonia,turf,turf,turf,turf,turf,turf,turf,turf,turf,Pavona varians
