date,site,Top_Plate_ID,plate.num,quad,time,photo.num,DS.1,DS.2,DS.3,DS.4,DS.5,DS.6,DS.7,DS.8,DS.9,DS.10,DS.11,DS.12,DS.13,DS.14,DS.15,DS.16,DS.17,DS.18,DS.19,DS.20,DS.21,DS.22,DS.23,DS.24,DS.25
20210804,Varari,V1,201,A,10:35,100-2404,Porites rus,Porites rus,Porites rus,Porites rus,Dictyota,Porites rus,Porites rus,Porites rus,Sand/Bare Rock,Dictyota,Porites rus,Porites rus,Porites rus,Porites rus,Sand/Bare Rock,Porites rus,Porites rus,Sand/Bare Rock,Algal Turf,Algal Turf,Porites rus,Porites rus,Algal Turf,Algal Turf,Algal Turf
20210804,Varari,V1,201,B,10:50,100-2422,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Galaxaura,Sand/Bare Rock,Sand/Bare Rock,Leptastrea transversa,Dictyosphaeria versluysii,Turbinaria ornata,Algal Turf,Sand/Bare Rock,Leptastrea transversa,Leptastrea transversa,Sand/Bare Rock,Algal Turf,Algal Turf,Leptastrea transversa,Dictyosphaeria versluysii,Dictyosphaeria versluysii
20210804,Varari,V1,201,C,11:06,100-2446,Porites rus,Porites rus,Porites rus,Algal Turf,Algal Turf,Porites rus,Porites rus,Porites rus,Algal Turf,Algal Turf,Porites rus,Porites rus,Porites rus,Porites rus,Porites rus,Porites rus,Porites rus,Porites rus,Sand/Bare Rock,Sand/Bare Rock,Porites rus,Porites rus,Porites rus,Crustose Corallines,Sand/Bare Rock
20210804,Varari,V1,201,D,11:12,100-2455,Algal Turf,Algal Turf,Algal Turf,Sand/Bare Rock,Sand/Bare Rock,Crustose Corallines,Algal Turf,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Crustose Corallines,Crustose Corallines,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Crustose Corallines,Dictyota,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock
20210804,Varari,V2,202,A,12:14,100-2470,Sponge,Dictyota,Dictyota,Algal Turf,Turbinaria ornata,Dictyota,Dictyota,Dictyota,Dictyota,Turbinaria ornata,Sand/Bare Rock,Dictyota,Dictyota,Turbinaria ornata,Turbinaria ornata,Dictyota,Dictyota,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Dictyota,Dictyota,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata
20210804,Varari,V2,202,B,12:18,100-2475,Algal Turf,Algal Turf,Algal Turf,Pocillopora acuta,Pocillopora acuta,Turbinaria ornata,Algal Turf,Algal Turf,Pocillopora acuta,Crustose Corallines,Turbinaria ornata,Algal Turf,Algal Turf,Turbinaria ornata,Pocillopora acuta,Turbinaria ornata,Pocillopora acuta,Halimeda,Turbinaria ornata,Pocillopora acuta,Turbinaria ornata,Pocillopora acuta,Halimeda,Turbinaria ornata,Turbinaria ornata
20210804,Varari,V2,202,C,12:36,100-2497,Dictyota,Sponge,Turbinaria ornata,Turbinaria ornata,Algal Turf,Dictyota,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Halimeda,Algal Turf,Algal Turf,Turbinaria ornata,Algal Turf,Turbinaria ornata,Turbinaria ornata,Crustose Corallines,Valonia,Algal Turf,Turbinaria ornata,Turbinaria ornata,Valonia,Anemone,Anemone
20210804,Varari,V2,202,D,12:45,100-2519,Sand/Bare Rock,Dictyota,Sand/Bare Rock,Sand/Bare Rock,Halimeda,Sand/Bare Rock,Pocillopora acuta,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Algal Turf,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Sand/Bare Rock,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Amansia rhodantha,Algal Turf,Amansia rhodantha,Algal Turf,Algal Turf
20210804,Varari,V3,203,A,13:00,100-2545,Turbinaria ornata,Porites rus,Algal Turf,Turbinaria ornata,Valonia,Turbinaria ornata,Pocillopora acuta,Pocillopora acuta,Algal Turf,Algal Turf,Crustose Corallines,Pocillopora acuta,Pocillopora acuta,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Sand/Bare Rock,Sand/Bare Rock,Algal Turf,Algal Turf,Algal Turf
20210804,Varari,V3,203,B,13:10,100-2562,Turbinaria ornata,Turbinaria ornata,Algal Turf,Algal Turf,Turbinaria ornata,Valonia,Algal Turf,Algal Turf,Amansia rhodantha,Amansia rhodantha,Porites rus,Valonia,Sand/Bare Rock,Valonia,Valonia,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Algal Turf,Pavona varians
