Taxa,Identification_notes,Genus,Family,Taxon_Group,Identified,Morphology,Secondary_Morphology,Life_Span,Max_size,MS_unit,MS_cat,Growth_rate,GR_unit,GR_cat,Zooxanthellate,Calcification,Energetic_Resource,Feeding_Mode,Observation_notes
Heteractis magnifica,"Quoy and Gaimard, 1833; previously Heteractis magnifica; hundreds of years life span",Radianthus,Stichodactylidae,Anemone,yes,Polypoid,Polypoid,Perennial,,,21-50 cm,,,,Zooxanthellate,Non-Calcified,Photo-autotroph,Passive Filter-feeding,max size category estimated from field survey
Lithophyllum kotschyanum,"Unger, 1858",Lithophyllum,Lithophyllaceae,CCA,yes,Encrusting,Encrusting,Perennial,,,10-20 cm,,,,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy,max size category estimated from field survey
Avrainvillea erecta,"(Berkeley) A.Gepp and E.S. Gepp, 1911",Avrainvillea,Dichotomosiphonaceae,Chlorophyta,yes,Branched Foliose,Foliose,unreported,6,"cm, height",< 10cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Caulerpa chemnitzia,"(Esper) J.V. Lamouroux, 1809; previously Caulerpa peltata",Caulerpa,Caulerpaceae,Chlorophyta,yes,Peltate,Stolonial,Perennial,10,"cm, length",< 10cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Caulerpa racemosa,"(Forsskal) J.Agardh, 1873",Caulerpa,Caulerpaceae,Chlorophyta,yes,Vesiculate,Stolonial,Perennial,15,"cm, length",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Caulerpa serrulata,"(Forsskal) J.Agardh, 1873",Caulerpa,Caulerpaceae,Chlorophyta,yes,Branched Erect,Stolonial,Perennial,20,"cm, length",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Cladophoropsis membranacea,"(Hofman Bang ex C. Agardh) Borgesen, 1905; original name: Boodlea kaenana, Brand, 1904",Cladophoropsis,Boodleaceae,Chlorophyta,yes,Filamentous,Filamentous,Perennial,13,"cm, diameter",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Dictyosphaeria sp.,"(Forsskal) Borgesen, 1932; combined Dictyosphaeria cavernosa and versluysii",Dictyosphaeria,Siphonocladaceae,Chlorophyta,yes,Vesiculate,Cushion-like,unreported,13,"cm, diameter",10-20 cm,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Halimeda distorta,"(Yamada) Hillis-Colinvaux, 1968",Halimeda,Halimedaceae,Chlorophyta,yes,Branched Matting,Branched,unreported,70,"cm, length",51-100 cm,,,,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy,
Halimeda incrassata,"(J.Ellis) J.V.Lamouroux, 1816",Halimeda,Halimedaceae,Chlorophyta,yes,Branched Globular,Branched,unreported,10,"cm, height",< 10cm,,,,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy,
Halimeda macroloba,"Decaisne, 1841",Halimeda,Halimedaceae,Chlorophyta,yes,Branched Erect,Branched,unreported,15,"cm, height",10-20 cm,,,,Non-zooxanthellate,Articulated Calcification,Autotroph,Autotrophy,
