Location,CowTagID,spRichness
Cabral,C1,20
Cabral,C10,12
Cabral,C11,9
Cabral,C12,23
Cabral,C13,19
Cabral,C15,16
Cabral,C16,17
Cabral,C17,14
Cabral,C18,15
Cabral,C19,19
Cabral,C2,21
Cabral,C20,13
Cabral,C3,21
Cabral,C4,18
Cabral,C5,13
Cabral,C6,13
Cabral,C7,16
Cabral,C8,16
Cabral,C9,22
Varari,V1,20
Varari,V10,15
Varari,V11,19
Varari,V12,20
Varari,V13,16
Varari,V14,10
Varari,V15,22
Varari,V16,11
Varari,V17,8
Varari,V18,16
Varari,V19,19
Varari,V2,31
Varari,V20,10
Varari,V3,19
Varari,V4,19
Varari,V5,17
Varari,V6,18
Varari,V7,14
Varari,V8,16
Varari,V9,5
Varari,VSEEP,1
Varari_Maya,Reef_Ambient_1,23
Varari_Maya,Reef_Ambient_2,23
Varari_Maya,RockWall_SGD_1,11
Varari_Maya,RockWall_SGD_2,13
Varari_Maya,RockWall_SGD_3,12
Varari_Maya,Sand_SGD_1,4
Varari_Maya,Sand_SGD_2,5
Cabral,CSEEP,0
