Site,CowTagID,Date,LiveCoral,DeadCoral,Rubble,Sand,Total
Cabral,C1,6/27/2022,57,151,1,5,214
Cabral,C10,6/15/2022,2,14,1,203,220
Cabral,C11,6/15/2022,19,161,24,11,215
Cabral,C12,6/28/2022,30,166,25,1,222
Cabral,C13,7/19/2022,38,159,15,7,219
Cabral,C15,6/23/2022,102,96,20,1,219
Cabral,C16,6/28/2022,35,77,134,103,349
Cabral,C17,6/23/2022,61,55,9,80,205
Cabral,C18,6/27/2022,96,115,11,0,222
Cabral,C19,6/27/2022,66,81,67,5,219
Cabral,C2,6/27/2022,16,171,10,25,222
Cabral,C20,6/15/2022,19,27,2,171,219
Cabral,C3,6/28/2022,42,133,43,2,220
Cabral,C4,6/28/2022,32,103,0,86,221
Cabral,C5,6/15/2022,32,61,33,88,214
Cabral,C6,7/19/2022,64,119,0,42,225
Cabral,C7,6/15/2022,39,94,0,63,196
Cabral,C8,6/15/2022,22,87,5,94,208
Cabral,C9,6/14/2022,58,131,21,7,217
Cabral,CSEEP,7/19/2022,0,0,0,200,200
Vararii_Maya,Reef_Ambient_1,6/14/2022,52,120,11,31,214
Vararii_Maya,Reef_Ambient_2,6/14/2022,94,108,6,5,213
Varari_Maya,RockWall_SGD_1,6/21/2022,1,194,0,27,222
Varari_Maya,RockWall_SGD_2,6/21/2022,1,189,0,32,222
Varari_Maya,RockWall_SGD_3,6/21/2022,4,159,2,52,217
Varari_Maya,Sand_SGD_1,6/21/2022,0,2,13,198,213
Varari_Maya,Sand_SGD_2,6/21/2022,0,8,25,183,216
Varari,V1,6/14/2022,84,88,0,39,211
Varari,V10,6/13/2022,30,138,5,6,179
Varari,V11,6/5/2022,32,127,27,24,210
Varari,V12,6/13/2022,50,86,33,47,216
Varari,V13,6/5/2022,5,109,6,97,217
Varari,V14,6/3/2022,0,10,0,201,211
Varari,V15,6/5/2022,56,143,14,5,218
Varari,V16,6/3/2022,23,40,21,133,217
Varari,V17,6/3/2022,0,39,0,181,220
Varari,V18,6/4/2022,20,149,14,16,199
Varari,V19,6/4/2022,39,72,18,86,215
Varari,V2,6/14/2022,42,125,6,25,198
Varari,V20,6/3/2022,11,33,0,155,199
Varari,V3,6/3/2022,32,165,4,33,234
Varari,V4,6/3/2022,17,90,37,31,175
Varari,V5,6/13/2022,68,103,8,58,237
Varari,V6,6/14/2022,46,98,15,58,217
Varari,V7,6/13/2022,11,97,5,111,224
Varari,V8,6/4/2022,28,139,4,33,204
Varari,V9,6/4/2022,93,14,8,70,185
Varari,VSEEP,6/14/2022,0,5,0,195,200
