date,site,Top_Plate_ID,plate.num,quad,time,photo.num,Sub.1,Sub.2,Sub.3,Sub.4,Sub.5,Sub.6,Sub.7,Sub.8,Sub.9,Sub.10,Sub.11,Sub.12,Sub.13,Sub.14,Sub.15,Sub.16,Sub.17,Sub.18,Sub.19,Sub.20,Sub.21,Sub.22,Sub.23,Sub.24,Sub.25
20210804,Varari,V1,201,macroalgae,10:35,100-2404,stony coral,stony coral,stony coral,macroalgae,macroalgae,stony coral,stony coral,stony coral,sand,sand,stony coral,stony coral,stony coral,turf,turf,stony coral,stony coral,stony coral,turf,turf,stony coral,stony coral,turf,turf,turf
20210804,Varari,V1,201,B,10:50,100-2422,bare rock,sand,sand,sand,sand,sand,sand,sand,sand,sand,turf,macroalgae,stony coral,macroalgae,sand,turf,sand,stony coral,stony coral,macroalgae,turf,turf,stony coral,turf,stony coral
20210804,Varari,V1,201,C,11:06,100-2446,stony coral,stony coral,turf,turf,turf,stony coral,stony coral,turf,turf,CCA,stony coral,stony coral,stony coral,turf,sand,stony coral,stony coral,stony coral,stony coral,sand,stony coral,stony coral,stony coral,sand,sand
20210804,Varari,V1,201,D,11:12,100-2455,turf,turf,turf,turf,turf,CCA,macroalgae,bare rock,bare rock,turf,CCA,CCA,macroalgae,sand,sand,CCA,sand,sand,CCA,turf,CCA,sand,sand,turf,stony coral
20210804,Varari,V2,202,macroalgae,12:14,100-2470,sponge,macroalgae,macroalgae,turf,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,bare rock,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae
20210804,Varari,V2,202,B,12:18,100-2475,turf,turf,turf,stony coral,stony coral,macroalgae,turf,turf,stony coral,CCA,macroalgae,turf,turf,macroalgae,stony coral,macroalgae,stony coral,macroalgae,macroalgae,stony coral,macroalgae,stony coral,macroalgae,macroalgae,macroalgae
20210804,Varari,V2,202,C,12:36,100-2497,macroalgae,sponge,macroalgae,macroalgae,turf,macroalgae,turf,turf,turf,turf,macroalgae,turf,turf,macroalgae,turf,macroalgae,macroalgae,CCA,macroalgae,turf,macroalgae,macroalgae,macroalgae,anemone,anemone
20210804,Varari,V2,202,D,12:45,100-2519,sand,macroalgae,bare rock,bare rock,macroalgae,sand,stony coral,bare rock,bare rock,sand,turf,sand,sand,sand,sand,turf,turf,turf,turf,turf,macroalgae,turf,macroalgae,turf,turf
20210804,Varari,V3,203,macroalgae,13:00,100-2545,macroalgae,stony coral,turf,macroalgae,macroalgae,macroalgae,stony coral,stony coral,turf,turf,CCA,stony coral,stony coral,turf,turf,turf,turf,turf,turf,turf,bare rock,bare rock,turf,turf,turf
20210804,Varari,V3,203,B,13:10,100-2562,macroalgae,macroalgae,turf,turf,macroalgae,macroalgae,turf,turf,macroalgae,macroalgae,stony coral,macroalgae,bare rock,macroalgae,macroalgae,turf,turf,turf,turf,turf,turf,turf,turf,turf,photo?
20210804,Varari,V3,203,C,13:26,100-2612,macroalgae,bare rock,macroalgae,turf,turf,macroalgae,macroalgae,turf,turf,turf,macroalgae,macroalgae,turf,turf,turf,macroalgae,macroalgae,photo?,turf,turf,macroalgae,turf,turf,sand,bare rock
20210804,Varari,V3,203,D,13:38,100-2644,turf,turf,turf,turf,turf,turf,turf,CCA,CCA,turf,bare rock,bare rock,bare rock,stony coral,stony coral,sand,sand,turf,stony coral,stony coral,turf,turf,sand,turf,turf
