FE,Morphological_form,Solitary_Colonial,Max_Longevity,Height,Width,Epibiosis,Energetic_resource,Major_photosynthetic_pigments,Feeding,Age_reproductive_maturity,Asexual_Reproduction,Growth_rates,Calcification ,Chemical_defenses,Mobility
a362522dc522b11,a,3,6,2,5,2,2,d,c,5,2,2,b,1,1
b122321ba112f11,b,1,2,2,3,2,1,b,a,1,1,2,f,1,1
b122321ca224a11,b,1,2,2,3,2,1,c,a,2,2,4,a,1,1
b123321ba125a11,b,1,2,3,3,2,1,b,a,1,2,5,a,1,1
b123321ba213a11,b,1,2,3,3,2,1,b,a,2,1,3,a,1,1
b123321ba214a11,b,1,2,3,3,2,1,b,a,2,1,4,a,1,1
b123331ba224a11,b,1,2,3,3,3,1,b,a,2,2,4,a,1,1
b123331ea113f11,b,1,2,3,3,3,1,e,a,1,1,3,f,1,1
b143421ba314a11,b,1,4,3,4,2,1,b,a,3,1,4,a,1,1
b222321ha324a11,b,2,2,2,3,2,1,h,a,3,2,4,a,1,1
c244421ba423a11,c,2,4,4,4,2,1,b,a,4,2,3,a,1,1
c254421ba325a21,c,2,5,4,4,2,1,b,a,3,2,5,a,2,1
c254431ba423e11,c,2,5,4,4,3,1,b,a,4,2,3,e,1,1
c342413ad323a11,c,3,4,2,4,1,3,a,d,3,2,3,a,1,1
d121321ea115f11,d,1,2,1,3,2,1,e,a,1,1,5,f,1,1
d152431ca322a11,d,1,5,2,4,3,1,c,a,3,2,2,a,1,1
d152531ca422a11,d,1,5,2,5,3,1,c,a,4,2,2,a,1,1
d152531ea422a11,d,1,5,2,5,3,1,e,a,4,2,2,a,1,1
d152531ea422f11,d,1,5,2,5,3,1,e,a,4,2,2,f,1,1
d162531ea422a11,d,1,6,2,5,3,1,e,a,4,2,2,a,1,1
d162531ea423f11,d,1,6,2,5,3,1,e,a,4,2,3,f,1,1
d221223ab224f11,d,2,2,1,2,2,3,a,b,2,2,4,f,1,1
d231323ab214f11,d,2,3,1,3,2,3,a,b,2,1,4,f,1,1
d321223ab224f11,d,3,2,1,2,2,3,a,b,2,2,4,f,1,1
d321423ab223f11,d,3,2,1,4,2,3,a,b,2,2,3,f,1,1
d332323ac223c11,d,3,3,2,3,2,3,a,c,2,2,3,c,1,1
d342423ac323a11,d,3,4,2,4,2,3,a,c,3,2,3,a,1,1
d351433ab423f11,d,3,5,1,4,3,3,a,b,4,2,3,f,1,1
d352423ac522b11,d,3,5,2,4,2,3,a,c,5,2,2,b,1,1
d352423fc422b11,d,3,5,2,4,2,3,f,c,4,2,2,b,1,1
d362523ac622b21,d,3,6,2,5,2,3,a,c,6,2,2,b,2,1
e111421ea323a11,e,1,1,1,4,2,1,e,a,3,2,3,a,1,1
e121421ca224a21,e,1,2,1,4,2,1,c,a,2,2,4,a,2,1
f122321ea123a11,f,1,2,2,3,2,1,e,a,1,2,3,a,1,1
f123421ea224a11,f,1,2,3,4,2,1,e,a,2,2,4,a,1,1
f124321ca214a11,f,1,2,4,3,2,1,c,a,2,1,4,a,1,1
f124421ca214a11,f,1,2,4,4,2,1,c,a,2,1,4,a,1,1
f124421ca214e11,f,1,2,4,4,2,1,c,a,2,1,4,e,1,1
g124431ca214a11,g,1,2,4,4,3,1,c,a,2,1,4,a,1,1
g133431ea313a11,g,1,3,3,4,3,1,e,a,3,1,3,a,1,1
g134431ca214a11,g,1,3,4,4,3,1,c,a,2,1,4,a,1,1
g134431ca314a11,g,1,3,4,4,3,1,c,a,3,1,4,a,1,1
g143421ea323a11,g,1,4,3,4,2,1,e,a,3,2,3,a,1,1
g233321ea224a11,g,2,3,3,3,2,1,e,a,2,2,4,a,1,1
h123411ea313e11,h,1,2,3,4,1,1,e,a,3,1,3,e,1,1
h123421ea224e11,h,1,2,3,4,2,1,e,a,2,2,4,e,1,1
h143431ea323e11,h,1,4,3,4,3,1,e,a,3,2,3,e,1,1
h223321ea214e11,h,2,2,3,3,2,1,e,a,2,1,4,e,1,1
i163332dd611f11,i,1,6,3,3,3,2,d,d,6,1,1,f,1,1
j353433ac223c21,j,3,5,3,4,3,3,a,c,2,2,3,c,2,1
j152433ae312f12,j,1,5,2,4,3,3,a,e,3,1,2,f,1,2
j153433ac312a11,j,1,5,3,4,3,3,a,c,3,1,2,a,1,1
j164533ac412f11,j,1,6,4,5,3,3,a,c,4,1,2,f,1,1
j332313ab323f11,j,3,3,2,3,1,3,a,b,3,2,3,f,1,1
j342413ac423b11,j,3,4,2,4,1,3,a,c,4,2,3,b,1,1
j353533ac622b11,j,3,5,3,5,3,3,a,c,6,2,2,b,1,1
j363532fc612b11,j,3,6,3,5,3,2,f,c,6,1,2,b,1,1
j373632fc622a11,j,3,7,3,6,3,2,f,c,6,2,2,a,1,1
j374632fc622b11,j,3,7,4,6,3,2,f,c,6,2,2,b,1,1
k113421ca224a11,k,1,1,3,4,2,1,c,a,2,2,4,a,1,1
k122311ba214a11,k,1,2,2,3,1,1,b,a,2,1,4,a,1,1
k152333ab312f11,k,1,5,2,3,3,3,a,b,3,1,2,f,1,1
k163533ae612f12,k,1,6,3,5,3,3,a,e,6,1,2,f,1,2
k243221ba323a11,k,2,4,3,2,2,1,b,a,3,2,3,a,1,1
k364532fc613b11,k,3,6,4,5,3,2,f,c,6,1,3,b,1,1
l154433ac412c11,l,1,5,4,4,3,3,a,c,4,1,2,c,1,1
l354423ac523b11,l,3,5,4,4,2,3,a,c,5,2,3,b,1,1
m155431ca314a11,m,1,5,5,4,3,1,c,a,3,1,4,a,1,1
