FE;Morphological form;Solitary-Colonial;Max Longevity;Height;Width;Epibiosis;Energetic resource;Major photosynthetic pigments;Feeding;Age reproductive maturity;Asexual Reproduction;Growth rates;Calcification;Chemical defenses;Mobility
a121221ba121a11;a;1;2;1;2;2;1;b;a;1;2;1;a;1;1
c112221ba112a11;c;1;1;2;2;2;1;b;a;1;1;2;a;1;1
d112211ba122a11;d;1;1;2;2;1;1;b;a;1;2;2;a;1;1
c112211ba112a11;c;1;1;2;2;1;1;b;a;1;1;2;a;1;1
c112211ba112a11;c;1;1;2;2;1;1;b;a;1;1;2;a;1;1
c112211ba112a11;c;1;1;2;2;1;1;b;a;1;1;2;a;1;1
c112211ba112a11;c;1;1;2;2;1;1;b;a;1;1;2;a;1;1
c122221ba112a11;c;1;2;2;2;2;1;b;a;1;1;2;a;1;1
c122221ba112a11;c;1;2;2;2;2;1;b;a;1;1;2;a;1;1
a111211ba122a21;a;1;1;1;2;1;1;b;a;1;2;2;a;2;1
c112211ba112b11;c;1;1;2;2;1;1;b;a;1;1;2;b;1;1
a121221ba121a11;a;1;2;1;2;2;1;b;a;1;2;1;a;1;1
c122221ba112a11;c;1;2;2;2;2;1;b;a;1;1;2;a;1;1
b111211ba122a11;b;1;1;1;2;1;1;b;a;1;2;2;a;1;1
c112211ba112a11;c;1;1;2;2;1;1;b;a;1;1;2;a;1;1
c111211ba122a11;c;1;1;1;2;1;1;b;a;1;2;2;a;1;1
c112211ba112b11;c;1;1;2;2;1;1;b;a;1;1;2;b;1;1
c112211ba112b11;c;1;1;2;2;1;1;b;a;1;1;2;b;1;1
c122221ba122b11;c;1;2;2;2;2;1;b;a;1;2;2;b;1;1
c122221ba112a11;c;1;2;2;2;2;1;b;a;1;1;2;a;1;1
a121221ba121a11;a;1;2;1;2;2;1;b;a;1;2;1;a;1;1
c222211ba122a11;c;2;2;2;2;1;1;b;a;1;2;2;a;1;1
c212211ba112b11;c;2;1;2;2;1;1;b;a;1;1;2;b;1;1
a121221ba121a11;a;1;2;1;2;2;1;b;a;1;2;1;a;1;1
a111211ba112b11;a;1;1;1;2;1;1;b;a;1;1;2;b;1;1
c112211ba122b11;c;1;1;2;2;1;1;b;a;1;2;2;b;1;1
a121221ba122b11;a;1;2;1;2;2;1;b;a;1;2;2;b;1;1
b111211ba111b11;b;1;1;1;2;1;1;b;a;1;1;1;b;1;1
a121221ba121b11;a;1;2;1;2;2;1;b;a;1;2;1;b;1;1
a111211ba122a11;a;1;1;1;2;1;1;b;a;1;2;2;a;1;1
c112211ba122a11;c;1;1;2;2;1;1;b;a;1;2;2;a;1;1
c122211ba122a11;c;1;2;2;2;1;1;b;a;1;2;2;a;1;1
b112221ba112b11;b;1;1;2;2;2;1;b;a;1;1;2;b;1;1
b112211ba112a11;b;1;1;2;2;1;1;b;a;1;1;2;a;1;1
c222211ba222a21;c;2;2;2;2;1;1;b;a;2;2;2;a;2;1
b112211ba122a11;b;1;1;2;2;1;1;b;a;1;2;2;a;1;1
b112221ba122a11;b;1;1;2;2;2;1;b;a;1;2;2;a;1;1
b122211ba112a11;b;1;2;2;2;1;1;b;a;1;1;2;a;1;1
c222211ba122a11;c;2;2;2;2;1;1;b;a;1;2;2;a;1;1
d111211ba112a11;d;1;1;1;2;1;1;b;a;1;1;2;a;1;1
c222221ba122b11;c;2;2;2;2;2;1;b;a;1;2;2;b;1;1
b112211ba112a11;b;1;1;2;2;1;1;b;a;1;1;2;a;1;1
d222111ba122a11;d;2;2;2;1;1;1;b;a;1;2;2;a;1;1
b211211ba122a11;b;2;1;1;2;1;1;b;a;1;2;2;a;1;1
d222222ab221a11;d;2;2;2;2;2;2;a;b;2;2;1;a;1;1
d222222bb221a11;d;2;2;2;2;2;2;b;b;2;2;1;a;1;1
a221212bb221a11;a;2;2;1;2;1;2;b;b;2;2;1;a;1;1
a221212ab221a21;a;2;2;1;2;1;2;a;b;2;2;1;a;2;1
d222212ab222a11;d;2;2;2;2;1;2;a;b;2;2;2;a;1;1
a221212ab221a11;a;2;2;1;2;1;2;a;b;2;2;1;a;1;1
d222222bb211a11;d;2;2;2;2;2;2;b;b;2;1;1;a;1;1
d222222bb212a11;d;2;2;2;2;2;2;b;b;2;1;2;a;1;1
d221212ab222a11;d;2;2;1;2;1;2;a;b;2;2;2;a;1;1
d222222bb221a11;d;2;2;2;2;2;2;b;b;2;2;1;a;1;1
a221212bb121a11;a;2;2;1;2;1;2;b;b;1;2;1;a;1;1
c221212ab122a11;c;2;2;1;2;1;2;a;b;1;2;2;a;1;1
d122222bb211b11;d;1;2;2;2;2;2;b;b;2;1;1;b;1;1
a221222ab122b11;a;2;2;1;2;2;2;a;b;1;2;2;b;1;1
d221212ab122b11;d;2;2;1;2;1;2;a;b;1;2;2;b;1;1
a211112ab122b11;a;2;1;1;1;1;2;a;b;1;2;2;b;1;1
a211212ab122b11;a;2;1;1;2;1;2;a;b;1;2;2;b;1;1
a211112ab122b11;a;2;1;1;1;1;2;a;b;1;2;2;b;1;1
a221212ab112b11;a;2;2;1;2;1;2;a;b;1;1;2;b;1;1
d122222ab111b11;d;1;2;2;2;2;2;a;b;1;1;1;b;1;1
d121222ac111b12;d;1;2;1;2;2;2;a;c;1;1;1;b;1;2
d122222ac211b12;d;1;2;2;2;2;2;a;c;2;1;1;b;1;2
d121222ab111b11;d;1;2;1;2;2;2;a;b;1;1;1;b;1;1
d122222ab111a11;d;1;2;2;2;2;2;a;b;1;1;1;a;1;1
d222222ab122b21;d;2;2;2;2;2;2;a;b;1;2;2;b;2;1
a221212ab122b11;a;2;2;1;2;1;2;a;b;1;2;2;b;1;1
a221212ab122a11;a;2;2;1;2;1;2;a;b;1;2;2;a;1;1
d122222ab111b11;d;1;2;2;2;2;2;a;b;1;1;1;b;1;1
