Species;FE
Aglaozonia.melanoidea;d152431ca322a11
Cladostephus.spongiosus;g124431ca214a11
Colpomenia.sinuosa;k113421ca224a11
Dictyota.dichotoma;f124421ca214a11
Dictyota.dichotoma.v.intricata;f124421ca214a11
Dictyota.fasciola;f124421ca214a11
Dictyota.spiralis;f124421ca214a11
Halopteris.filicina;g134431ca314a11
Halopteris.scoparia;g134431ca214a11
Lobophora.variegata;e121421ca224a21
Padina.pavonica;f124421ca214e11
Pseudolithoderma.adriaticum;d152531ca422a11
Sargassum.vulgare;m155431ca314a11
Sphacelaria.cirrosa;b122321ca224a11
Taonia.atomaria;f124321ca214a11
Acrosorium.venulosum;f122321ea123a11
Amphiroa.rigida;h123411ea313e11
Amphiroa.cryptarthrodia;h123411ea313e11
Corallina.elongata;h143431ea323e11
Cryptonemia.lomation;g133431ea313a11
Ethelia.van.bosseae;d152531ea422a11
Gelidium.pusillum;g233321ea224a11
Haliptilon.virgatum;h223321ea214e11
Hildenbrandia.crouaniorum;d162531ea422a11
Hydrolithon.farinosum;d121321ea115f11
Jania.rubens;h123421ea224e11
Neogoniolithon.brassica.florida;d162531ea423f11
Parvocaulis.parvulus;b122321ba112f11
Peyssonnelia.rosa.marina;d152531ea422f11
Peyssonnelia.squamaria;e111421ea323a11
Rhodophyllis.divaricata;f123421ea224a11
Rhodymenia.ardissonei;g143421ea323a11
Acetabularia.acetabulum;b123331ea113f11
Bryopsis.duplex;b123321ba213a11
Caulerpa.cylindracea;c254421ba325a21
Cladophora.aff.coelothrix;b123321ba125a11
Cladophora.coelothrix;b123331ba224a11
Cladophora.prolifera;b143421ba314a11
Flabellia.petiolata;c244421ba423a11
Halicystis.parvula;k122311ba214a11
Halimeda.tuna;c254431ba423e11
Pedobesia.lamourouxii.;b123321ba214a11
Valonia.utricularis;k243221ba323a11
Turf.;b222321ha324a11
Caccospongia.mollior;j353533ac622b11
Chondrosia.reniformis;j373632fc622a11
Cliona.viridis;a362522dc522b11
Crambe.crambe;d362523ac622b21
Haliclona.mediterranea;l354423ac523b11
Hymedesmia.versicolor;d352423ac522b11
Ircinia.dendroides;j363532fc612b11
Ircinia.fasciculata;k364532fc613b11
Myxilla.rosacea;j342413ac423b11
Petrosia.ficiformis;j374632fc622b11
Terpios.fugax;d352423fc422b11
Stephanoscyphus.sp;c342413ad323a11
Balanophyllia.europaea;i163332dd611f11
Schizoporella.longicornis;d351433ab423f11
Celleporina;j332313ab323f11
Lichenopora.radiata;d321223ab224f11
Watersipora.subovoidea;d321423ab223f11
Salmacina.dysteri;d221223ab224f11
Spirorbis.sp;d231323ab214f11
Arca.noae;j164533ac412f11
Patella.coerulea;j152433ae312f12
Paracentrotus.lividus;k163533ae612f12
Perforatus.perforatus;k152333ab312f11
Ascidia.mentula;j153433ac312a11
Cystodites.dellechiajei;j353433ac223c21
Didemnum.sp;d332323ac223c11
Diplosoma.spongiforme;d342423ac323a11
Pyura.dura;l154433ac412c11
