Parameter_Ind,Parameter_Dep,pvalue,adj_r_squared
spRichness,Salinity,0.0052541574083901,0.308732062912504
spRichness,Temperature,0.0236826080327669,0.201538336272593
spRichness,TA,0.00491153645083657,0.31326220853569
spRichness,pH,0.00925238350777595,0.269777221763744
spRichness,Phosphate_umolL,0.00832249014679257,0.27719540600453
spRichness,Silicate_umolL,0.711864051455302,-0.0449007774156687
spRichness,NN_umolL,0.100014518579102,0.090480184319562
spRichness,Ammonia_umolL,0.359095303625509,-0.00586924917756582
spRichness,M_C,0.543717408599793,-0.0318693753544146
spRichness,HIX,0.0395757259539149,0.162620320684776
spRichness,VisibleHumidic_Like,0.627311242670652,-0.0393093791669255
spRichness,Tryptophan_Like,0.0886398914001052,0.0999382625051483
spRichness,Tyrosine_Like,0.565408948284973,-0.0340051030498212
spRichness,del15N,0.162958621497629,0.052437765247573
spRichness,C_N,0.197420665020413,0.0377286137306617
spRichness,N_percent,0.19571956702259,0.0383872604443227
spRichness,LiveCoral,0.0386425280154866,0.164450387739763
spRichness,DeadCoral,3.81905440279088e-4,0.467149459444637
spRichness,Rubble,0.144741593873409,0.0616177547606978
spRichness,Sand,7.49614143988858e-6,0.643050802543723
spRichness,dist_to_seep_m,0.0038512025927552,0.329399901766766
spRichness,adj_CT_depth_cm,0.607658854548876,-0.0377453147571054
spRichness,meanRugosity,0.00639122350012246,0.324854221663613
Salinity,Temperature,9.36159673326985e-5,0.537832982841499
Salinity,TA,1.30365313008493e-23,0.995085543634337
Salinity,pH,3.32323465959705e-18,0.98179015542937
Salinity,Phosphate_umolL,1.23951395124836e-14,0.956771658170423
Salinity,Silicate_umolL,0.0865010467171767,0.101851562585515
Salinity,NN_umolL,3.10794909919674e-4,0.478100245620577
Salinity,Ammonia_umolL,0.226534394838548,0.0273367548076004
Salinity,M_C,0.65267588066972,-0.0411743684679899
Salinity,HIX,0.0778420227390755,0.110109890810664
Salinity,VisibleHumidic_Like,0.0777820445736686,0.110170210745795
Salinity,Tryptophan_Like,0.00104152934630955,0.410772947141931
