Y,modelParam,Parameter,Reg_Type,AICc,R2,pVal,delAICc
NbSpP,Y ~ Temperature:Rugosity,Temperature:Rugosity,Linear,141.23110027237166,0.49002225219561857,0.07181992729308226,0
resSpp,Y ~ Temperature:Rugosity,Temperature:Rugosity,Linear,141.23110027237166,0.22913016323222568,0.0718199272930818,0
NbSpP,Y ~ pH:Rugosity,pH:Rugosity,Linear,144.12878544937305,0.40600147323359415,0.3106095154099433,2.8976851770013923
resSpp,Y ~ pH:Rugosity,pH:Rugosity,Linear,144.12878544937308,0.10212641759350138,0.3106095154099433,2.8976851770014207
NbSpP,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Linear,144.58132916427604,0.39168372891332787,0.4477866666844068,3.3502288919043792
resSpp,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Linear,144.58132916427604,0.0804840669721953,0.4477866666844069,3.3502288919043792
NbSpP,Y ~ Salinity:Rugosity,Salinity:Rugosity,Linear,144.99039262476288,0.3784448864847808,0.6517154171243742,3.7592923523912134
resSpp,Y ~ Salinity:Rugosity,Salinity:Rugosity,Linear,144.99039262476288,0.06047255794885863,0.6517154171243744,3.7592923523912134
NbSpP,Y ~ Silicate:Rugosity,Silicate:Rugosity,Linear,145.0816465361382,0.3754524780406246,0.6650789580129064,3.850546263766546
resSpp,Y ~ Silicate:Rugosity,Silicate:Rugosity,Linear,145.0816465361382,0.05594930684854973,0.6650789580129055,3.850546263766546
NbSpP,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Linear,145.3124937694069,0.367818031804318,0.7419631644682567,4.081393497035236
resSpp,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Linear,145.3124937694069,0.04440926544609333,0.741963164468256,4.081393497035236
NbSpP,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Polynomial,145.44997342913953,0.6151257932694483,0.3141711098227298,4.21887315676787
resSpp,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Polynomial,145.44997342913956,0.41823360294474765,0.31417110982272994,4.2188731567678985
NbSpP,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Polynomial,147.18594499004482,0.5783045085228825,0.7741586375009941,5.954844717673154
resSpp,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Polynomial,147.18594499004482,0.3625754533796557,0.774158637500994,5.954844717673154
NbFEsP,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Polynomial,147.40651310087952,0.8040164925372335,0.07589382647470967,0
resFEp,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Polynomial,147.40651310087952,0.6263788266509078,0.0758938264747098,0
NbSpP,Y ~ Salinity:Rugosity,Salinity:Rugosity,Polynomial,148.0024233105286,0.5597881833404518,0.4735938685591744,6.771323038156936
resSpp,Y ~ Salinity:Rugosity,Salinity:Rugosity,Polynomial,148.0024233105286,0.33458663105873665,0.47359386855917407,6.771323038156936
NbSpP,Y ~ pH:Rugosity,pH:Rugosity,Polynomial,148.37531887004226,0.5510632116464524,0.9387073160613817,7.144218597670601
resSpp,Y ~ pH:Rugosity,pH:Rugosity,Polynomial,148.37531887004226,0.3213981781615004,0.9387073160613819,7.144218597670601
NbSpP,Y ~ Temperature:Rugosity,Temperature:Rugosity,Polynomial,148.8499946261626,0.5397061779376503,0.35418278085895205,7.6188943537909495
resSpp,Y ~ Temperature:Rugosity,Temperature:Rugosity,Polynomial,148.8499946261626,0.304231164975214,0.3541827808589514,7.6188943537909495
resFEp,Y ~ Temperature:Rugosity,Temperature:Rugosity,Linear,151.90570954784687,0.21668203816344794,0.16077378319031835,4.499196446967346
NbFEsP,Y ~ Temperature:Rugosity,Temperature:Rugosity,Linear,151.9057095478469,0.5891094708493021,0.1607737831903186,4.499196446967375
NbFEsP,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Linear,152.34142644930984,0.5795778628003085,0.19180939854327325,4.934913348430314
resFEp,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Linear,152.34142644930984,0.19851106740538413,0.19180939854327325,4.934913348430314
resFEp,Y ~ Salinity:Rugosity,Salinity:Rugosity,Polynomial,152.65068180348962,0.5076197628800829,0.5553424122643021,5.2441687026100965
NbFEsP,Y ~ Salinity:Rugosity,Salinity:Rugosity,Polynomial,152.65068180348965,0.7417212600369758,0.5553424122643018,5.244168702610125
NbFEsP,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Polynomial,154.08560627505307,0.7214599849141768,0.8192260294627031,6.679093174173545
resFEp,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Polynomial,154.08560627505307,0.4689938525525662,0.8192260294627024,6.679093174173545
resFEp,Y ~ Salinity:Rugosity,Salinity:Rugosity,Linear,154.1303285476037,0.1193820247609767,0.29255252637387347,6.723815446724188
NbFEsP,Y ~ Salinity:Rugosity,Salinity:Rugosity,Linear,154.13032854760374,0.5380706131425596,0.29255252637387297,6.723815446724217
NbFEsP,Y ~ pH:Rugosity,pH:Rugosity,Linear,154.5113395116444,0.5287139447103393,0.5052115312913731,7.104826410764872
resFEp,Y ~ pH:Rugosity,pH:Rugosity,Linear,154.5113395116444,0.10154455729474776,0.5052115312913734,7.104826410764872
NbSpP,Y ~ Silicate:Rugosity,Silicate:Rugosity,Polynomial,154.56940212254915,0.3780333484905281,0.8230548673252946,13.338301850177487
resSpp,Y ~ Silicate:Rugosity,Silicate:Rugosity,Polynomial,154.56940212254915,0.059850487225539525,0.8230548673252943,13.338301850177487
NbFEsP,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Linear,154.88226009397846,0.5194230402076139,0.9195309354225631,7.475746993098937
resFEp,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Linear,154.88226009397846,0.08383246158464235,0.919530935422564,7.475746993098937
NbFEsP,Y ~ Silicate:Rugosity,Silicate:Rugosity,Linear,155.3123726509672,0.5084199059784731,0.7465194424596839,7.905859550087683
resFEp,Y ~ Silicate:Rugosity,Silicate:Rugosity,Linear,155.3123726509672,0.06285618672136035,0.7465194424596846,7.905859550087683
NbFEsP,Y ~ pH:Rugosity,pH:Rugosity,Polynomial,159.21448633733982,0.6351439888703301,0.4796526230196938,11.807973236460299
resFEp,Y ~ pH:Rugosity,pH:Rugosity,Polynomial,159.21448633733982,0.30444182397524117,0.47965262301969336,11.807973236460299
resFEp,Y ~ Temperature:Rugosity,Temperature:Rugosity,Polynomial,159.8776935128433,0.27973421119075614,0.7290439684583156,12.471180411963786
NbFEsP,Y ~ Temperature:Rugosity,Temperature:Rugosity,Polynomial,159.87769351284334,0.6221835761315935,0.7290439684583161,12.471180411963815
NbFEsP,Y ~ Silicate:Rugosity,Silicate:Rugosity,Polynomial,162.445635157061,0.5675082504993204,0.8648264253287758,15.03912205618147
resFEp,Y ~ Silicate:Rugosity,Silicate:Rugosity,Polynomial,162.445635157061,0.1755016684608303,0.8648264253287754,15.03912205618147
Vol8D,Y ~ Salinity:Rugosity,Salinity:Rugosity,Polynomial,169.568861352968,0.6408855005251064,0.5195084334286332,0
resVol,Y ~ Salinity:Rugosity,Salinity:Rugosity,Polynomial,169.568861352968,0.5493552977444747,0.5195084334286324,0
Vol8D,Y ~ Temperature:Rugosity,Temperature:Rugosity,Linear,171.28375438515135,0.3497250267624565,0.09638067708215257,1.7148930321833404
